页面ID,页面,模块,路由,模板ID,筛选项,默认排序,表格列,冻结列,可排序字段,批量操作,行操作,详情Tab,导出字段,导出策略,脱敏规则,审批规则,确认规则,成功反馈,失败恢复,空状态,权限,数据分级,审计事件,计划版本,成熟度
ADM-DASH-001,数据驾驶舱,总览,/dashboard,ADM-DASHBOARD,页码;每页数量;游标;状态;关键词;排序,不适用；按模块固定顺序,指标;待办;趋势;generated At,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无批量写操作,查看详情,概览;业务数据;状态历史;关联对象;操作审计,指标;待办;趋势;generated At,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：dashboard.read；写：dashboard.manage,NORMAL,admin_page_adm_dash_001_operation,R30,FROZEN_OPERATIONAL_V1.2.2
ADM-USER-001,用户列表,用户,/users,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;phone Masked;昵称;头像;个人简介;状态;identity Status;membership Status;创建时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,批量导出脱敏结果（异步）;批量添加标签；冻结必须逐用户确认,查看详情,概览;业务数据;状态历史;关联对象;操作审计,ID;phone Masked;昵称;头像;个人简介;状态;identity Status;membership Status;创建时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：user.read；写：user.manage,NORMAL,admin_page_adm_user_001_operation,R02,FROZEN_OPERATIONAL_V1.2.2
ADM-USER-002,用户详情,用户,/users/:id,ADM-DETAIL,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;phone Masked;昵称;头像;个人简介;状态;identity Status;membership Status;创建时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,新增/修改限制;解除限制;冻结账号;解冻账号;强制下线,概览;资料;实名;内容;订单;奖励;邀请关系;设备会话;风险;操作日志,ID;phone Masked;昵称;头像;个人简介;状态;identity Status;membership Status;创建时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：冻结账号,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：user.read；写：user.manage,NORMAL,admin_page_adm_user_002_operation,R02,FROZEN_OPERATIONAL_V1.2.2
ADM-ID-001,实名列表,实名,/identity,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;用户ID;状态;供应商;liveness Url;失败代码;过期时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无批量写操作,查看详情,基本信息;活体/人证结果;敏感媒体;风险;复核记录;访问审计,ID;用户ID;状态;供应商;liveness Url;失败代码;过期时间;版本,仅具备 export.create 权限可导出；异步任务、字段白名单、默认脱敏、用途必填、下载审计,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：identity.read；写：identity.manage,HIGH,admin_page_adm_id_001_operation,R05,FROZEN_OPERATIONAL_V1.2.2
ADM-ID-002,实名详情与复核,实名,/identity/:id,ADM-REVIEW,页码;每页数量;游标;状态;关键词;排序,"priority:desc,createdAt:asc",ID;用户ID;状态;供应商;liveness Url;失败代码;过期时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,人工复核;获取短时原图预览;冻结实名,基本信息;活体/人证结果;敏感媒体;风险;复核记录;访问审计,ID;用户ID;状态;供应商;liveness Url;失败代码;过期时间;版本,仅具备 export.create 权限可导出；异步任务、字段白名单、默认脱敏、用途必填、下载审计,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,以下操作必须绑定双人审批：冻结实名,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：identity.read；写：identity.manage,HIGH,admin_page_adm_id_002_operation,R05,FROZEN_OPERATIONAL_V1.2.2
ADM-CONTENT-001,统一内容列表,内容,/contents,ADM-LIST,页码;每页数量;游标;状态;关键词;排序;内容类型;分类;地区,createdAt:desc,ID;内容类型;标题;摘要;详细说明;分类;地区;媒体;发布者;脱敏联系方式;状态;审核状态;统计;创建时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,批量导出;批量操作仅允许可逆标记；上下线/关闭需逐项校验,查看详情,概览;业务数据;状态历史;关联对象;操作审计,ID;内容类型;标题;摘要;详细说明;分类;地区;媒体;发布者;脱敏联系方式;状态;审核状态;统计;创建时间,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：content.read；写：content.manage,NORMAL,admin_page_adm_content_001_operation,R06,FROZEN_OPERATIONAL_V1.2.2
ADM-CONTENT-002,内容详情,内容,/contents/:id,ADM-DETAIL,页码;每页数量;游标;状态;关键词;排序;内容类型;分类;地区,createdAt:desc,ID;内容类型;标题;摘要;详细说明;分类;地区;媒体;发布者;脱敏联系方式;状态;审核状态;统计;创建时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,平台上架;平台下架;违规封禁;运营推荐;官方标识,正文与媒体;发布者;联系方式策略;审核版本;数据指标;举报申诉;状态历史,ID;内容类型;标题;摘要;详细说明;分类;地区;媒体;发布者;脱敏联系方式;状态;审核状态;统计;创建时间,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：content.read；写：content.manage,NORMAL,admin_page_adm_content_002_operation,R06,FROZEN_OPERATIONAL_V1.2.2
ADM-CONTENT-003,字典与属性,内容,/contents/dictionaries,ADM-LIST,页码;每页数量;游标;状态;关键词;排序;内容类型;分类;地区,createdAt:desc,ID;内容类型;标题;摘要;详细说明;分类;地区;媒体;发布者;脱敏联系方式;状态;审核状态;统计;创建时间,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,无默认批量业务写操作；除非页面规格明确，不得因表格组件能力自行增加,平台上架;平台下架;违规封禁;运营推荐;官方标识;修改字典,概览;业务数据;状态历史;关联对象;操作审计,ID;内容类型;标题;摘要;详细说明;分类;地区;媒体;发布者;脱敏联系方式;状态;审核状态;统计;创建时间,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：content.read；写：content.manage,NORMAL,admin_page_adm_content_003_operation,R06,FROZEN_OPERATIONAL_V1.2.2
ADM-REVIEW-001,审核队列,审核,/reviews,ADM-REVIEW,页码;每页数量;游标;状态;关键词;排序,"priority:desc,createdAt:asc",ID;主体类型;subject Id;状态;risk Level;assignee Id;decision;原因;创建时间;版本;reporter Id;原因代码;appellant Id,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,批量分配（仅未领取项）;批量标记优先级（不允许批量作出最终决定）,通过/驳回/二审;分配审核员,概览;业务数据;状态历史;关联对象;操作审计,ID;主体类型;subject Id;状态;risk Level;assignee Id;decision;原因;创建时间;版本;reporter Id;原因代码;appellant Id,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：review.read；写：review.decide;review.assign,NORMAL,admin_page_adm_review_001_operation,R12,FROZEN_OPERATIONAL_V1.2.2
ADM-RP-001,红包活动列表,红包,/red-packets,ADM-LIST,页码;每页数量;游标;状态;关键词;排序,createdAt:desc,ID;内容ID;owner User Id;状态;红包总数量;remaining Count;单个红包金额;principal Cent;service Fee Cent;开始时间;结束时间;版本,ID/名称;状态;主金额（财务页）;操作,createdAt;updatedAt;status;amountCent（存在时）；仅允许后端白名单,批量导出;批量操作仅允许可逆标记；上下线/关闭需逐项校验,查看详情,概览;业务数据;状态历史;关联对象;操作审计,ID;内容ID;owner User Id;状态;红包总数量;remaining Count;单个红包金额;principal Cent;service Fee Cent;开始时间;结束时间;版本,具备页面读取和 export.create 权限可异步导出当前筛选；禁止导出未展示或无权限字段,手机号/身份证/支付账号/IP/设备指纹/SecretRef默认脱敏；查看原文需字段权限、会话升级、目的说明和访问审计,普通保存按页面权限；涉及资金、秘密、生产发布、永久处罚或高风险导出时自动升级为双人审批,不可逆或高影响操作展示目标、影响范围、原因、审批单、服务端version；确认文案不得使用含糊的“确定”,更新当前行/详情、状态计数和待办；显示操作结果、requestId和审计入口；禁止仅Toast不更新数据,字段错误就地提示；409重新加载差异；422保留输入；权限变化立即收回入口；首屏/翻页采用不同错误态,展示当前筛选、无数据原因和可执行下一步；不得使用无上下文的空白表格,读：redpacket.read；写：redpacket.manage,NORMAL,admin_page_adm_rp_001_operation,R20,FROZEN_OPERATIONAL_V1.2.2
