ID,区域,页面,路由,访问,功能摘要,计划版本
SCR-APP-001,启动,启动页,/splash,否,品牌展示、版本/维护/Token并行检查,R02
SCR-APP-002,启动,系统维护页,/maintenance,否,维护说明、预计恢复、重试,R02
SCR-APP-003,启动,更新提示,/update,否,可选/推荐/强制更新,R02
SCR-AUTH-001,账号,密码登录,/login,否,默认手机号+密码、安全验证、协议,R02
SCR-AUTH-002,账号,短信验证码登录,/login/sms,否,安全验证后发送阿里云短信验证码,R02
SCR-AUTH-003,账号,注册账号,/register,否,手机号、密码、确认密码、邀请码、安全验证、短信校验,R02
SCR-AUTH-004,账号,忘记密码,/password/reset,否,安全验证、短信验证码和新密码,R02
SCR-AUTH-005,账号,账号冻结,/account-blocked,是,原因、期限、申诉,R02
SCR-AUTH-006,账号,登录设备,/me/security/devices,是,设备列表与下线,R02
SCR-AUTH-007,账号,修改登录密码,/me/security/password,是,原密码、新密码、高风险安全验证,R02
SCR-AUTH-008,账号,注销账号,/me/security/cancel,是,校验、申请与状态,R02
SCR-HOME-001,首页,首页,/home,是,运营模块、四类入口、头条/置顶,R06
SCR-SEARCH-001,搜索,全局搜索,/search,是,关键词、历史、热搜,R07
SCR-SEARCH-002,搜索,搜索结果,/search/result,是,筛选、排序、分页,R07
SCR-LIST-001,内容,项目列表,/content/projects,是,项目卡片列表,R08
SCR-LIST-002,内容,App列表,/content/apps,是,App卡片列表,R09
SCR-LIST-003,内容,群聊列表,/content/groups,是,群聊卡片列表,R10
SCR-LIST-004,内容,团队长列表,/content/team-leaders,是,团队长卡片列表,R11
SCR-DETAIL-001,内容,项目详情,/content/project/{id},是,项目详情、联系、私聊、红包,R08
SCR-DETAIL-002,内容,App详情,/content/app/{id},是,App详情、外链、联系,R09
SCR-DETAIL-003,内容,群聊详情,/content/group/{id},是,二维码/群号/失效反馈,R10
SCR-DETAIL-004,内容,团队长详情,/content/team-leader/{id},是,团队资料、案例、联系,R11
SCR-PUBLISHER-001,内容,发布者主页,/publisher/{userId},是,公开资料和已发布内容,R07
SHEET-CONTACT-001,内容,联系方式面板,sheet://contact,是,查看/复制联系方式,R07
SHEET-REPORT-001,内容,举报面板,sheet://report,是,举报类型和证据,R15
SHEET-SHARE-001,内容,分享面板,sheet://share,是,链接、海报、渠道,R13
SCR-RP-001,红包,红包首页,/red-packet,是,四类红包聚合,R22
SCR-RP-002,红包,红包任务资格,/red-packet/{id}/eligibility,是,实名、重复、库存校验,R22
SCR-RP-003,红包,红包浏览任务,/red-packet/{id}/view,是,详情页计时浮球,R22
SHEET-RP-001,红包,红包领取面板,sheet://red-packet-claim,是,领取成功/失败/待审核,R22
SCR-RP-004,红包,我的红包,/me/rewards/red-packets,是,待结算/可提现/历史,R23
SCR-RP-ADV-001,红包广告,红包活动列表,/me/red-packet-campaigns,是+实名,广告主活动管理,R20
SCR-RP-ADV-002,红包广告,创建红包,/me/red-packet-campaigns/create,是+实名,内容、金额、数量、浏览秒数,R20
SCR-RP-ADV-003,红包广告,预审核结果,/me/red-packet-campaigns/{id}/review,是+实名,审核状态和原因,R20
SCR-RP-ADV-004,红包广告,红包报价确认,/me/red-packet-campaigns/{id}/quote,是+实名,本金、服务费、不可退款,R20
SCR-RP-ADV-005,红包广告,红包活动详情,/me/red-packet-campaigns/{id},是+实名,数据、暂停、恢复、关闭,R21
SCR-RP-ADV-006,红包广告,提高红包金额,/me/red-packet-campaigns/{id}/increase,是+实名,新金额、差额报价和付款,R21
SCR-PUB-001,发布,发布入口,/publish,是+实名,四类入口,R12
SCR-PUB-002,发布,项目发布/编辑,/publish/project/{id?},是+实名,项目表单,R08
SCR-PUB-003,发布,App发布/编辑,/publish/app/{id?},是+实名,App表单，无APK上传,R09
SCR-PUB-004,发布,群聊发布/编辑,/publish/group/{id?},是+实名,群聊表单,R10
SCR-PUB-005,发布,团队长资料编辑,/publish/team-leader,是+实名,一账号一份,R11
SCR-PUB-006,发布,发布预览,/publish/preview,是+实名,按详情组件预览,R12
SCR-PUB-007,发布,提交结果,/publish/result,是+实名,成功/失败/待审,R12
SCR-MYC-001,内容管理,我的发布,/me/contents,是,状态筛选和管理,R12
SCR-MYC-002,内容管理,草稿箱,/me/drafts,是,草稿恢复删除,R12
SCR-MYC-003,内容管理,内容管理详情,/me/contents/{id},是,状态、审核、数据、道具、红包,R12
SCR-MYC-004,内容管理,审核记录,/me/contents/{id}/reviews,是,历史和申诉,R12
SCR-MYC-005,内容管理,内容数据,/me/contents/{id}/analytics,是,流量和转化,R12
SCR-MSG-001,消息,消息中心,/messages,是,聊天/通知/公告,R15
SCR-CHAT-001,消息,会话列表,/messages/chats,是,未读和最后消息,R14
SCR-CHAT-002,消息,私聊页,/messages/chat/{conversationId},是,文本、图片、卡片,R14
SHEET-CHAT-001,消息,发送联系方式,sheet://chat-contact,是,选择字段和备注,R14
SHEET-CHAT-002,消息,聊天举报,sheet://chat-report,是,消息证据,R14
SCR-NOTICE-001,消息,通知列表,/messages/notifications,是,系统通知,R15
SCR-NOTICE-002,消息,通知详情,/messages/notifications/{id},是,业务跳转,R15
SCR-ANN-001,消息,公告列表,/messages/announcements,是,平台公告,R15
SCR-ANN-002,消息,公告详情,/messages/announcements/{id},是,富文本公告,R15
SCR-ME-001,我的,我的首页,/me,是,账号、会员、收益、功能入口,R12
SCR-ME-002,我的,个人资料,/me/profile,是,头像昵称简介,R12
SCR-FAV-001,我的,我的收藏,/me/favorites,是,收藏列表,R13
SCR-HIS-001,我的,浏览记录,/me/history,是,历史与清空,R13
SCR-ORDER-001,订单,订单列表,/me/orders,是,全部商品订单,R16
SCR-ORDER-002,订单,订单详情,/me/orders/{id},是,价格快照和状态,R16
SCR-MEMBER-001,会员,会员中心,/me/membership,是,月季年SKU和权益,R18
SCR-MEMBER-002,会员,会员购买确认,/me/membership/buy/{skuId},是,价格和协议,R18
SCR-MEMBER-003,会员,会员升级,/me/membership/upgrade,是,剩余价值补差,R18
SCR-MEMBER-004,会员,会员权益明细,/me/membership/benefits,是,当前权益和使用量,R18
SCR-PROP-001,道具,道具商城,/me/props/store,是,四类道具,R19
SCR-PROP-002,道具,我的道具,/me/props,是,库存和状态,R19
SCR-PROP-003,道具,使用道具,/me/props/use/{id},是,选择内容和确认,R19
SCR-REF-001,推广,推广中心,/me/referral,是+实名,邀请和收益总览,R25
SCR-REF-002,推广,邀请好友,/me/referral/invite,是+实名,链接、二维码、分享,R25
SCR-REF-003,推广,邀请海报,/me/referral/posters,是+实名,海报生成保存,R25
SCR-REF-004,推广,直推用户,/me/referral/direct,是+实名,每人独立活跃进度,R26
SCR-REF-005,推广,二级用户,/me/referral/level2,是+实名,消费关系统计,R25
SCR-REF-006,推广,消费佣金,/me/referral/commissions,是+实名,一级二级明细,R25
SCR-REF-007,推广,直推活跃奖励,/me/referral/activity-rewards,是+实名,档位矩阵和奖励,R26
SCR-REF-008,推广,推广规则/教程,/me/referral/rules,是,规则和违规公告,R25
SCR-TASK-001,任务,任务中心,/me/tasks,是,七日/每日/连续任务,R27
SCR-TASK-002,任务,个人任务积分,/me/tasks/points,是,积分和里程碑,R27
SCR-REWARD-001,收益,奖励账户,/me/rewards,是+实名,余额分类和来源,R24
SCR-REWARD-002,收益,奖励明细,/me/rewards/ledger,是+实名,流水筛选,R24
SCR-WD-001,提现,绑定支付宝,/me/withdrawal/account,是+实名,账户和姓名校验,R24
SCR-WD-002,提现,申请提现,/me/withdrawal/create,是+实名,金额、手续费、到账,R24
SCR-WD-003,提现,提现记录,/me/withdrawal/history,是+实名,状态和详情,R24
SCR-ID-001,实名,实名认证首页,/me/identity,是,状态和开始,R05
SCR-ID-002,实名,实名信息输入,/me/identity/form,是,姓名身份证,R05
SCR-ID-003,实名,活体检测容器,/me/identity/liveness,是,H5相机权限,R05
SCR-ID-004,实名,实名结果,/me/identity/result,是,成功/失败/人工,R05
SCR-SUPPORT-001,客服,帮助中心,/support/help,是,分类和搜索,R15
SCR-SUPPORT-002,客服,创建工单,/support/tickets/create,是,类型、关联单、附件,R15
SCR-SUPPORT-003,客服,工单列表,/support/tickets,是,状态筛选,R15
SCR-SUPPORT-004,客服,工单详情,/support/tickets/{id},是,回复和补充材料,R15
SCR-SET-001,设置,设置,/me/settings,是,通知、缓存、关于、退出,R15
SCR-ABOUT-001,设置,关于与检查更新,/me/about,是,版本、协议、下载页,R06
SHEET-MEDIA-001,通用组件,媒体上传管理器,sheet://media-upload,登录后,创建上传会话、分片/直传进度、失败重试、完成确认、删除未绑定媒体；被发布、资料、工单等页面复用,R04
DIALOG-SEARCH-001,搜索,清空搜索历史确认,dialog://search-history-clear,登录后,展示不可恢复提示并二次确认清空当前账号搜索历史,R07
SHEET-CONTENT-INVALID-001,内容,联系方式失效反馈,sheet://content-invalid-feedback,登录后,选择二维码、链接或联系方式失效原因，补充说明并提交反馈,R13
DIALOG-CHAT-BLOCK-001,消息,拉黑与解除拉黑确认,dialog://chat-block,登录后,展示影响范围、原因输入和二次确认；支持拉黑与解除拉黑,R14
DIALOG-CHAT-DELETE-001,消息,删除会话确认,dialog://chat-delete,登录后,明确仅删除当前用户会话视图，不删除对方消息记录；二次确认,R14
SCR-SUPPORT-005,客服,帮助文章详情,/support/help/{id},登录后,文章正文、目录锚点、更新时间、相关问题和创建工单入口,R15
