模块,方法,路径,权限,用途,幂等,计划版本
AdminAuth,POST,/admin-api/v1/auth/login,公开,后台登录,是,R01
AdminAuth,POST,/admin-api/v1/auth/mfa/verify,已登录待二次验证,二次验证,是,R01
AdminAuth,POST,/admin-api/v1/auth/logout,后台登录,退出,是,R01
Dashboard,GET,/admin-api/v1/dashboard/summary,dashboard.read,总览指标,否,R30
Dashboard,GET,/admin-api/v1/dashboard/todos,dashboard.read,待办队列,否,R30
Users,GET,/admin-api/v1/users,user.read,用户列表,否,R02
Users,GET,/admin-api/v1/users/{id},user.read,用户详情,否,R02
Users,POST,/admin-api/v1/users/{id}/restrictions,user.restrict,新增/修改限制,是,R02
Users,DELETE,/admin-api/v1/users/{id}/restrictions/{type},user.restrict,解除限制,是,R02
Users,POST,/admin-api/v1/users/{id}/freeze,user.freeze,冻结账号,是,R02
Users,POST,/admin-api/v1/users/{id}/unfreeze,user.freeze,解冻账号,是,R02
Users,POST,/admin-api/v1/users/{id}/force-logout,user.security,强制下线,是,R02
Identity,GET,/admin-api/v1/identities,identity.read,实名列表,否,R05
Identity,GET,/admin-api/v1/identities/{userId},identity.read,实名详情,否,R05
Identity,POST,/admin-api/v1/identities/{userId}/media-access,identity.media.view,获取短时原图预览,是,R05
Identity,POST,/admin-api/v1/identity-sessions/{id}/review,identity.review,人工复核,是,R05
Identity,POST,/admin-api/v1/identities/{userId}/freeze,identity.freeze,冻结实名,是,R05
Content,GET,/admin-api/v1/contents,content.read,内容列表,否,R06
Content,GET,/admin-api/v1/contents/{id},content.read,内容详情与版本,否,R06
Content,POST,/admin-api/v1/contents/{id}/online,content.manage,平台上架,是,R06
Content,POST,/admin-api/v1/contents/{id}/offline,content.manage,平台下架,是,R06
Content,POST,/admin-api/v1/contents/{id}/ban,content.ban,违规封禁,是,R06
Content,POST,/admin-api/v1/contents/{id}/recommend,content.recommend,运营推荐,是,R06
Content,POST,/admin-api/v1/contents/{id}/official-mark,content.official,官方标识,是,R06
Content,GET,/admin-api/v1/content-dictionaries,content.dict.read,内容字典,否,R06
Content,PUT,/admin-api/v1/content-dictionaries/{code},content.dict.write,修改字典,是,R06
Review,GET,/admin-api/v1/reviews/queue,review.read,统一审核队列,否,R12
Review,GET,/admin-api/v1/reviews/{id},review.read,审核详情,否,R12
Review,POST,/admin-api/v1/reviews/{id}/decide,review.decide,通过/驳回/二审,是,R12
Review,POST,/admin-api/v1/reviews/{id}/assign,review.assign,分配审核员,是,R12
Reports,GET,/admin-api/v1/content-reports,report.read,内容举报列表,否,R15
Reports,POST,/admin-api/v1/content-reports/{id}/decide,report.decide,处理举报,是,R15
Appeals,GET,/admin-api/v1/appeals,appeal.read,申诉列表,否,R15
Appeals,POST,/admin-api/v1/appeals/{id}/decide,appeal.decide,处理申诉,是,R15
RedPacket,GET,/admin-api/v1/red-packet-campaigns,redpacket.read,红包活动列表,否,R20-R23
