批次,批次主题,面板,页面名称,图片路径,SHA256,用途
B01,启动、登录与注册引导,P01,启动页,design/effect-previews/B01/HHY_B01_8PAGE_UI_REFERENCE.png,761f1a993c865e8464858fa498037c9520f86c100928b087eb9eae0e4ce302ca,UI布局与样式参考
B01,启动、登录与注册引导,P02,登录主页,design/effect-previews/B01/HHY_B01_8PAGE_UI_REFERENCE.png,761f1a993c865e8464858fa498037c9520f86c100928b087eb9eae0e4ce302ca,UI布局与样式参考
B01,启动、登录与注册引导,P03,手机号验证码登录页,design/effect-previews/B01/HHY_B01_8PAGE_UI_REFERENCE.png,761f1a993c865e8464858fa498037c9520f86c100928b087eb9eae0e4ce302ca,UI布局与样式参考
B01,启动、登录与注册引导,P04,邀请码输入态,design/effect-previews/B01/HHY_B01_8PAGE_UI_REFERENCE.png,761f1a993c865e8464858fa498037c9520f86c100928b087eb9eae0e4ce302ca,UI布局与样式参考
B01,启动、登录与注册引导,P05,协议确认弹层,design/effect-previews/B01/HHY_B01_8PAGE_UI_REFERENCE.png,761f1a993c865e8464858fa498037c9520f86c100928b087eb9eae0e4ce302ca,UI布局与样式参考
B01,启动、登录与注册引导,P06,登录中状态,design/effect-previews/B01/HHY_B01_8PAGE_UI_REFERENCE.png,761f1a993c865e8464858fa498037c9520f86c100928b087eb9eae0e4ce302ca,UI布局与样式参考
B01,启动、登录与注册引导,P07,登录失败/验证码错误,design/effect-previews/B01/HHY_B01_8PAGE_UI_REFERENCE.png,761f1a993c865e8464858fa498037c9520f86c100928b087eb9eae0e4ce302ca,UI布局与样式参考
B01,启动、登录与注册引导,P08,强制更新提示,design/effect-previews/B01/HHY_B01_8PAGE_UI_REFERENCE.png,761f1a993c865e8464858fa498037c9520f86c100928b087eb9eae0e4ce302ca,UI布局与样式参考
B02,首页、内容发现与卡片体系,P01,首页默认态,design/effect-previews/B02/HHY_B02_8PAGE_UI_REFERENCE.png,f5e48dcab11cc364159ceb49f3c4c4fea96327f66c935c803cbc541f7f922010,UI布局与样式参考
B02,首页、内容发现与卡片体系,P02,首页下滑浏览态,design/effect-previews/B02/HHY_B02_8PAGE_UI_REFERENCE.png,f5e48dcab11cc364159ceb49f3c4c4fea96327f66c935c803cbc541f7f922010,UI布局与样式参考
B02,首页、内容发现与卡片体系,P03,首页搜索激活态,design/effect-previews/B02/HHY_B02_8PAGE_UI_REFERENCE.png,f5e48dcab11cc364159ceb49f3c4c4fea96327f66c935c803cbc541f7f922010,UI布局与样式参考
B02,首页、内容发现与卡片体系,P04,首页公告与轮播区,design/effect-previews/B02/HHY_B02_8PAGE_UI_REFERENCE.png,f5e48dcab11cc364159ceb49f3c4c4fea96327f66c935c803cbc541f7f922010,UI布局与样式参考
B02,首页、内容发现与卡片体系,P05,项目内容卡片,design/effect-previews/B02/HHY_B02_8PAGE_UI_REFERENCE.png,f5e48dcab11cc364159ceb49f3c4c4fea96327f66c935c803cbc541f7f922010,UI布局与样式参考
B02,首页、内容发现与卡片体系,P06,App内容卡片,design/effect-previews/B02/HHY_B02_8PAGE_UI_REFERENCE.png,f5e48dcab11cc364159ceb49f3c4c4fea96327f66c935c803cbc541f7f922010,UI布局与样式参考
B02,首页、内容发现与卡片体系,P07,群聊内容卡片,design/effect-previews/B02/HHY_B02_8PAGE_UI_REFERENCE.png,f5e48dcab11cc364159ceb49f3c4c4fea96327f66c935c803cbc541f7f922010,UI布局与样式参考
B02,首页、内容发现与卡片体系,P08,团队长内容卡片,design/effect-previews/B02/HHY_B02_8PAGE_UI_REFERENCE.png,f5e48dcab11cc364159ceb49f3c4c4fea96327f66c935c803cbc541f7f922010,UI布局与样式参考
B03,四类内容详情与发布者主页,P01,项目详情,design/effect-previews/B03/HHY_B03_8PAGE_UI_REFERENCE.png,619f43b70ef7892b00ac985b771efd71111fe7f6c50d77504926f80f303ddb2c,UI布局与样式参考
B03,四类内容详情与发布者主页,P02,App详情,design/effect-previews/B03/HHY_B03_8PAGE_UI_REFERENCE.png,619f43b70ef7892b00ac985b771efd71111fe7f6c50d77504926f80f303ddb2c,UI布局与样式参考
B03,四类内容详情与发布者主页,P03,群聊详情,design/effect-previews/B03/HHY_B03_8PAGE_UI_REFERENCE.png,619f43b70ef7892b00ac985b771efd71111fe7f6c50d77504926f80f303ddb2c,UI布局与样式参考
B03,四类内容详情与发布者主页,P04,团队长详情,design/effect-previews/B03/HHY_B03_8PAGE_UI_REFERENCE.png,619f43b70ef7892b00ac985b771efd71111fe7f6c50d77504926f80f303ddb2c,UI布局与样式参考
B03,四类内容详情与发布者主页,P05,发布者主页,design/effect-previews/B03/HHY_B03_8PAGE_UI_REFERENCE.png,619f43b70ef7892b00ac985b771efd71111fe7f6c50d77504926f80f303ddb2c,UI布局与样式参考
B03,四类内容详情与发布者主页,P06,获取联系方式弹层,design/effect-previews/B03/HHY_B03_8PAGE_UI_REFERENCE.png,619f43b70ef7892b00ac985b771efd71111fe7f6c50d77504926f80f303ddb2c,UI布局与样式参考
