状态ID,页面ID,平台,页面,状态码,进入条件,展示行为,允许操作,禁用操作,恢复策略,埋点事件,是否终态,成熟度
STA-00001,SCR-APP-001,ANDROID,启动页,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_app_001_initial,否,FROZEN_V1.2.2
STA-00002,SCR-APP-001,ANDROID,启动页,CHECKING,正在执行版本、维护、资格或安全检查,显示检查进度和当前步骤，禁止提前导航,取消/重试（允许时）,与当前状态、权限或服务端version冲突的所有写操作,超时后进入可恢复错误,page_state_scr_app_001_checking,否,FROZEN_V1.2.2
STA-00003,SCR-APP-001,ANDROID,启动页,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_app_001_content,否,FROZEN_V1.2.2
STA-00004,SCR-APP-001,ANDROID,启动页,BLOCKED,系统维护、强制更新或账号限制阻断,展示阻断原因和唯一允许动作,更新/重试/联系客服,与当前状态、权限或服务端version冲突的所有写操作,阻断优先级高于普通导航,page_state_scr_app_001_blocked,是,FROZEN_V1.2.2
STA-00005,SCR-APP-001,ANDROID,启动页,RETRYABLE_ERROR,网络、限流或临时依赖故障,说明可恢复原因和最早重试时间,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,不得丢失安全可保留输入,page_state_scr_app_001_retryable_error,否,FROZEN_V1.2.2
STA-00006,SCR-APP-001,ANDROID,启动页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_app_001_error,否,FROZEN_V1.2.2
STA-00007,SCR-APP-001,ANDROID,启动页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_app_001_offline,否,FROZEN_V1.2.2
STA-00008,SCR-APP-002,ANDROID,系统维护页,INITIAL,页面首次创建，尚未发起请求,显示稳定布局占位，禁止空白闪烁,发起初始化,与当前状态、权限或服务端version冲突的所有写操作,自动进入下一状态,page_state_scr_app_002_initial,否,FROZEN_V1.2.2
STA-00009,SCR-APP-002,ANDROID,系统维护页,CHECKING,正在执行版本、维护、资格或安全检查,显示检查进度和当前步骤，禁止提前导航,取消/重试（允许时）,与当前状态、权限或服务端version冲突的所有写操作,超时后进入可恢复错误,page_state_scr_app_002_checking,否,FROZEN_V1.2.2
STA-00010,SCR-APP-002,ANDROID,系统维护页,CONTENT,核心数据完整且可交互,展示内容并按权限/状态机计算操作入口,页面定义的读写动作,与当前状态、权限或服务端version冲突的所有写操作,刷新或执行操作,page_state_scr_app_002_content,否,FROZEN_V1.2.2
STA-00011,SCR-APP-002,ANDROID,系统维护页,BLOCKED,系统维护、强制更新或账号限制阻断,展示阻断原因和唯一允许动作,更新/重试/联系客服,与当前状态、权限或服务端version冲突的所有写操作,阻断优先级高于普通导航,page_state_scr_app_002_blocked,是,FROZEN_V1.2.2
STA-00012,SCR-APP-002,ANDROID,系统维护页,RETRYABLE_ERROR,网络、限流或临时依赖故障,说明可恢复原因和最早重试时间,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,不得丢失安全可保留输入,page_state_scr_app_002_retryable_error,否,FROZEN_V1.2.2
STA-00013,SCR-APP-002,ANDROID,系统维护页,ERROR,请求失败且无法展示可靠内容,展示稳定错误码、requestId、重试和返回,重试/返回,与当前状态、权限或服务端version冲突的所有写操作,按错误码恢复,page_state_scr_app_002_error,否,FROZEN_V1.2.2
STA-00014,SCR-APP-002,ANDROID,系统维护页,OFFLINE,网络不可用,只读页面可展示标记为缓存的数据；写操作禁用,重试网络,与当前状态、权限或服务端version冲突的所有写操作,恢复网络后主动刷新,page_state_scr_app_002_offline,否,FROZEN_V1.2.2
