契约类型,契约标识,operationId,计划版本,成熟度,安全模型,请求Schema,响应Schema,幂等,UI/系统所有者,事实源,事实源SHA256,冻结日期,变更策略
CLIENT_API,POST /api/v1/auth/security-challenges,authPostAuthSecurityChallenges,R02,FROZEN_V1.2.2,[],AuthPostAuthSecurityChallengesRequest,AuthPostAuthSecurityChallengesResponse,是,H5-013;SCR-AUTH-001;SCR-AUTH-002;SCR-AUTH-003;SCR-AUTH-004,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/auth/password/login,authPostAuthPasswordLogin,R02,FROZEN_V1.2.2,[],AuthPostAuthPasswordLoginRequest,AuthPostAuthPasswordLoginResponse,是,SCR-AUTH-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/auth/sms/send,authPostAuthSmsSend,R02,FROZEN_V1.2.2,[],AuthPostAuthSmsSendRequest,AuthPostAuthSmsSendResponse,是,H5-013;SCR-AUTH-002;SCR-AUTH-003;SCR-AUTH-004,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/auth/sms/login,authPostAuthSmsLogin,R02,FROZEN_V1.2.2,[],AuthPostAuthSmsLoginRequest,AuthPostAuthSmsLoginResponse,是,SCR-AUTH-002,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/auth/invite-codes/validate,authPostAuthInviteCodesValidate,R02,FROZEN_V1.2.2,[],AuthPostAuthInviteCodesValidateRequest,AuthPostAuthInviteCodesValidateResponse,否,SCR-AUTH-003,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,GET /api/v1/auth/registration-config,authGetAuthRegistrationConfig,R02,FROZEN_V1.2.2,[],AuthGetAuthRegistrationConfigParameters,AuthGetAuthRegistrationConfigResponse,否,SCR-AUTH-003,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-18,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/auth/register,authPostAuthRegister,R02,FROZEN_V1.2.2,[],AuthPostAuthRegisterRequest,AuthPostAuthRegisterResponse,是,H5-013;SCR-AUTH-003,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/auth/password/reset,authPostAuthPasswordReset,R02,FROZEN_V1.2.2,[],AuthPostAuthPasswordResetRequest,AuthPostAuthPasswordResetResponse,是,SCR-AUTH-004,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/me/security/password/change,authPostMeSecurityPasswordChange,R02,FROZEN_V1.2.2,"[{""BearerAuth"":[]}]",AuthPostMeSecurityPasswordChangeRequest,AuthPostMeSecurityPasswordChangeResponse,是,SCR-AUTH-007,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
CLIENT_API,POST /api/v1/auth/refresh,authPostAuthRefresh,R02,FROZEN_V1.2.2,"[{""RefreshTokenAuth"":[]}]",AuthPostAuthRefreshRequest,AuthPostAuthRefreshResponse,是,SCR-APP-001,contracts/openapi.yaml,cb2defe41fb579379f683661e6b79322e0f62a1c9afe542c027ec2003acd08cc,2026-07-16,非破坏性扩展；破坏性变更必须CR、新API版本、迁移及消费者兼容窗口
