版本,需求数,Android页面数,H5页面数,后台页面数,客户端API数,后台API数,数据表数,配置组,测试数,必须APK,Manifest
P00,5,0,0,0,0,0,0,platform;domain;operations;app_build,6,YES,releases/P00/RELEASE_MANIFEST.yaml
R01,4,0,0,0,0,3,0,platform,5,YES,releases/R01/RELEASE_MANIFEST.yaml
R02,6,11,1,2,16,7,13,auth;sms,6,YES,releases/R02/RELEASE_MANIFEST.yaml
R03,4,0,0,7,0,13,9,domain;sms;storage;identity;payment;payout;app_build,4,NO,releases/R03/RELEASE_MANIFEST.yaml
R04,3,0,0,0,3,0,3,storage,3,YES,releases/R04/RELEASE_MANIFEST.yaml
R05,3,4,1,2,4,5,6,identity;storage,3,YES,releases/R05/RELEASE_MANIFEST.yaml
R06,3,2,0,3,3,9,18,content;platform,3,YES,releases/R06/RELEASE_MANIFEST.yaml
R07,4,4,0,0,9,0,20,search;content,4,YES,releases/R07/RELEASE_MANIFEST.yaml
R08,3,3,0,0,9,0,18,content,3,YES,releases/R08/RELEASE_MANIFEST.yaml
R09,3,3,0,0,9,0,18,content;storage,3,YES,releases/R09/RELEASE_MANIFEST.yaml
R10,3,3,0,0,10,0,18,content;storage,3,YES,releases/R10/RELEASE_MANIFEST.yaml
R11,3,3,0,0,9,0,18,content,3,YES,releases/R11/RELEASE_MANIFEST.yaml
R12,3,10,0,1,15,4,18,content,3,YES,releases/R12/RELEASE_MANIFEST.yaml
R13,3,3,0,0,6,0,18,content;analytics,3,YES,releases/R13/RELEASE_MANIFEST.yaml
R14,3,4,0,0,9,0,7,chat;storage,3,YES,releases/R14/RELEASE_MANIFEST.yaml
R15,4,11,2,2,13,11,10,chat;notification;system,4,YES,releases/R15/RELEASE_MANIFEST.yaml
R16,4,2,0,1,2,8,8,membership;props;red_packet,4,YES,releases/R16/RELEASE_MANIFEST.yaml
R17,3,0,2,2,4,6,4,payment,4,YES,releases/R17/RELEASE_MANIFEST.yaml
R18,4,4,0,2,5,5,9,membership,4,YES,releases/R18/RELEASE_MANIFEST.yaml
R19,3,3,0,3,4,5,9,props,3,YES,releases/R19/RELEASE_MANIFEST.yaml
R20,3,4,0,2,19,9,12,red_packet,3,YES,releases/R20/RELEASE_MANIFEST.yaml
R21,3,2,0,0,19,9,12,red_packet;payment,3,YES,releases/R21/RELEASE_MANIFEST.yaml
R22,2,4,0,0,19,9,12,red_packet;identity,3,YES,releases/R22/RELEASE_MANIFEST.yaml
R23,3,1,0,2,20,9,14,red_packet;analytics,4,YES,releases/R23/RELEASE_MANIFEST.yaml
R24,3,5,0,4,7,9,9,withdrawal;payout,4,YES,releases/R24/RELEASE_MANIFEST.yaml
R25,3,6,0,3,7,5,8,referral,3,YES,releases/R25/RELEASE_MANIFEST.yaml
R26,3,2,0,3,7,5,7,referral_activity,3,YES,releases/R26/RELEASE_MANIFEST.yaml
R27,4,2,0,2,4,6,8,task;analytics,4,YES,releases/R27/RELEASE_MANIFEST.yaml
R28,4,0,7,3,6,10,7,platform;domain;storage,4,YES,releases/R28/RELEASE_MANIFEST.yaml
R29,4,0,0,8,1,19,10,app_build;domain;storage,5,YES,releases/R29/RELEASE_MANIFEST.yaml
R30,8,0,0,6,0,21,15,system;platform;operations,8,YES,releases/R30/RELEASE_MANIFEST.yaml
R31,3,0,0,2,0,7,6,operations;system,4,YES,releases/R31/RELEASE_MANIFEST.yaml
R32,6,0,0,0,0,0,0,sms;storage;identity;payment;payout;app_build;domain,6,YES,releases/R32/RELEASE_MANIFEST.yaml
