需求ID,需求标题,版本,优先级,前端页面,客户端API,后台API,数据表,状态机,配置组,配置项,页面规格,动作规格,测试用例,任务清单,DoR证据,Commit/PR,状态
REQ-AUTH-001,强制登录,R02,P0,SCR-APP-001;SCR-APP-002;SCR-APP-003;SCR-AUTH-001;SCR-AUTH-002;SCR-AUTH-003;SCR-AUTH-004;SCR-AUTH-005;SCR-AUTH-006;SCR-AUTH-007;SCR-AUTH-008;ADM-USER-001;ADM-USER-002,GET /public-api/v1/platform/status;POST /public-api/v1/app/version-check;POST /api/v1/auth/refresh;GET /public-api/v1/app/latest;POST /api/v1/auth/security-challenges;POST /api/v1/auth/password/login;POST /api/v1/auth/sms/send;POST /api/v1/auth/sms/login;POST /api/v1/auth/invite-codes/validate;POST /api/v1/auth/register;POST /api/v1/auth/password/reset;GET /api/v1/me;POST /api/v1/support/tickets;GET /api/v1/auth/sessions;DELETE /api/v1/auth/sessions/{id};POST /api/v1/me/security/password/change;POST /api/v1/me/cancellation,GET /admin-api/v1/users;GET /admin-api/v1/users/{id};POST /admin-api/v1/users/{id}/restrictions;DELETE /admin-api/v1/users/{id}/restrictions/{type};POST /admin-api/v1/users/{id}/freeze;POST /admin-api/v1/users/{id}/unfreeze;POST /admin-api/v1/users/{id}/force-logout,h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,USER_STATUS,auth;sms;platform;app_build;system,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;sms.active_provider;sms.aliyun.region_id;sms.aliyun.endpoint;sms.aliyun.access_key_id;sms.aliyun.access_key_secret;sms.aliyun.sign_name;sms.aliyun.template.login;sms.aliyun.template.register;sms.aliyun.template.reset_password;sms.aliyun.template.security_notice;sms.code.length;sms.code.ttl_seconds;sms.send.cooldown_seconds;sms.send.daily_phone_limit;sms.send.daily_ip_limit;sms.provider.timeout_ms;sms.provider.retry_count;sms.verify.max_attempts;sms.send.daily_device_limit;sms.send.same_scene_resend_new_code;sms.delivery_receipt.enabled;sms.aliyun.callback_url;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope;app.release.default_update_type;app.release.require_two_person_approval;app.build.apk_required_for_android_release;app.build.timeout_minutes;app.build.max_concurrent_jobs;app.build.artifact_retention_days;app.build.arbitrary_shell_allowed;app.build.white_label_enabled;app.android.min_sdk;app.android.target_sdk;app.android.version_code_strategy;system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-AUTH_001-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_001-REJECT;TST-AUTH_001-SECURITY,releases/R02/STORIES.yaml;releases/R02/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-AUTH-002,默认密码登录,R02,P0,SCR-AUTH-001;SCR-AUTH-002;SCR-AUTH-003;SCR-AUTH-004;SCR-AUTH-005;SCR-AUTH-006;SCR-AUTH-007;SCR-AUTH-008,POST /api/v1/auth/security-challenges;POST /api/v1/auth/password/login;POST /api/v1/auth/sms/send;POST /api/v1/auth/sms/login;POST /api/v1/auth/invite-codes/validate;POST /api/v1/auth/register;POST /api/v1/auth/password/reset;GET /api/v1/me;POST /api/v1/support/tickets;GET /api/v1/auth/sessions;DELETE /api/v1/auth/sessions/{id};POST /api/v1/me/security/password/change;POST /api/v1/me/cancellation,N/A_NO_ADMIN_API,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,USER_STATUS,auth;sms;platform;system,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;sms.active_provider;sms.aliyun.region_id;sms.aliyun.endpoint;sms.aliyun.access_key_id;sms.aliyun.access_key_secret;sms.aliyun.sign_name;sms.aliyun.template.login;sms.aliyun.template.register;sms.aliyun.template.reset_password;sms.aliyun.template.security_notice;sms.code.length;sms.code.ttl_seconds;sms.send.cooldown_seconds;sms.send.daily_phone_limit;sms.send.daily_ip_limit;sms.provider.timeout_ms;sms.provider.retry_count;sms.verify.max_attempts;sms.send.daily_device_limit;sms.send.same_scene_resend_new_code;sms.delivery_receipt.enabled;sms.aliyun.callback_url;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-AUTH_002-HAPPY;TST-AUTH_002-IDEMPOTENT;TST-AUTH_002-REJECT;TST-AUTH_002-SECURITY,releases/R02/STORIES.yaml;releases/R02/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-AUTH-003,阿里云短信登录,R02,P0,SCR-AUTH-001;SCR-AUTH-002;SCR-AUTH-003;SCR-AUTH-004;SCR-AUTH-005;SCR-AUTH-006;SCR-AUTH-007;SCR-AUTH-008,POST /api/v1/auth/security-challenges;POST /api/v1/auth/password/login;POST /api/v1/auth/sms/send;POST /api/v1/auth/sms/login;POST /api/v1/auth/invite-codes/validate;POST /api/v1/auth/register;POST /api/v1/auth/password/reset;GET /api/v1/me;POST /api/v1/support/tickets;GET /api/v1/auth/sessions;DELETE /api/v1/auth/sessions/{id};POST /api/v1/me/security/password/change;POST /api/v1/me/cancellation,N/A_NO_ADMIN_API,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,USER_STATUS,auth;sms;platform;system,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;sms.active_provider;sms.aliyun.region_id;sms.aliyun.endpoint;sms.aliyun.access_key_id;sms.aliyun.access_key_secret;sms.aliyun.sign_name;sms.aliyun.template.login;sms.aliyun.template.register;sms.aliyun.template.reset_password;sms.aliyun.template.security_notice;sms.code.length;sms.code.ttl_seconds;sms.send.cooldown_seconds;sms.send.daily_phone_limit;sms.send.daily_ip_limit;sms.provider.timeout_ms;sms.provider.retry_count;sms.verify.max_attempts;sms.send.daily_device_limit;sms.send.same_scene_resend_new_code;sms.delivery_receipt.enabled;sms.aliyun.callback_url;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-AUTH_003-HAPPY;TST-AUTH_003-IDEMPOTENT;TST-AUTH_003-REJECT;TST-AUTH_003-SECURITY,releases/R02/STORIES.yaml;releases/R02/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-AUTH-004,独立注册,R02,P0,SCR-AUTH-001;SCR-AUTH-002;SCR-AUTH-003;SCR-AUTH-004;SCR-AUTH-005;SCR-AUTH-006;SCR-AUTH-007;SCR-AUTH-008,POST /api/v1/auth/security-challenges;POST /api/v1/auth/password/login;POST /api/v1/auth/sms/send;POST /api/v1/auth/sms/login;POST /api/v1/auth/invite-codes/validate;POST /api/v1/auth/register;POST /api/v1/auth/password/reset;GET /api/v1/me;POST /api/v1/support/tickets;GET /api/v1/auth/sessions;DELETE /api/v1/auth/sessions/{id};POST /api/v1/me/security/password/change;POST /api/v1/me/cancellation,N/A_NO_ADMIN_API,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,USER_STATUS,auth;sms;platform;system,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;sms.active_provider;sms.aliyun.region_id;sms.aliyun.endpoint;sms.aliyun.access_key_id;sms.aliyun.access_key_secret;sms.aliyun.sign_name;sms.aliyun.template.login;sms.aliyun.template.register;sms.aliyun.template.reset_password;sms.aliyun.template.security_notice;sms.code.length;sms.code.ttl_seconds;sms.send.cooldown_seconds;sms.send.daily_phone_limit;sms.send.daily_ip_limit;sms.provider.timeout_ms;sms.provider.retry_count;sms.verify.max_attempts;sms.send.daily_device_limit;sms.send.same_scene_resend_new_code;sms.delivery_receipt.enabled;sms.aliyun.callback_url;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-AUTH_004-HAPPY;TST-AUTH_004-IDEMPOTENT;TST-AUTH_004-REJECT;TST-AUTH_004-SECURITY,releases/R02/STORIES.yaml;releases/R02/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-AUTH-005,H5邀请注册,R02,P0,SCR-AUTH-003;H5-013,POST /api/v1/auth/security-challenges;POST /api/v1/auth/sms/send;POST /api/v1/auth/invite-codes/validate;POST /api/v1/auth/register;GET /public-api/v1/invite/{code}/registration-config,N/A_NO_ADMIN_API,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts,USER_STATUS,auth;sms;platform,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit;sms.active_provider;sms.aliyun.region_id;sms.aliyun.endpoint;sms.aliyun.access_key_id;sms.aliyun.access_key_secret;sms.aliyun.sign_name;sms.aliyun.template.login;sms.aliyun.template.register;sms.aliyun.template.reset_password;sms.aliyun.template.security_notice;sms.code.length;sms.code.ttl_seconds;sms.send.cooldown_seconds;sms.send.daily_phone_limit;sms.send.daily_ip_limit;sms.provider.timeout_ms;sms.provider.retry_count;sms.verify.max_attempts;sms.send.daily_device_limit;sms.send.same_scene_resend_new_code;sms.delivery_receipt.enabled;sms.aliyun.callback_url;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-AUTH_005-HAPPY;TST-AUTH_005-IDEMPOTENT;TST-AUTH_005-REJECT;TST-AUTH_005-SECURITY,releases/R02/STORIES.yaml;releases/R02/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-UI-001,效果图仅作样式参考,P00/R01,P0,,N/A_NO_CLIENT_API,N/A_NO_ADMIN_API,outbox_events;inbox_messages;ledger_accounts;accounting_transactions;accounting_entries;balance_snapshots;reconciliation_runs;reconciliation_differences,N/A_STATE_MACHINE_NOT_REQUIRED,N/A_NOT_CONFIG_DRIVEN,N/A_NOT_CONFIG_DRIVEN,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-UI_001-HAPPY;TST-UI_001-IDEMPOTENT;TST-UI_001-REJECT,releases/P00/STORIES.yaml;releases/P00/TASKS.yaml;releases/R01/STORIES.yaml;releases/R01/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-ID-001,单一实名认证,R05,P0,SCR-ID-001;SCR-ID-002;SCR-ID-003;SCR-ID-004;H5-012;ADM-ID-001;ADM-ID-002,POST /api/v1/identity/sessions;GET /api/v1/me;POST /api/v1/identity/sessions/{id}/liveness-token;GET /api/v1/identity/sessions/{id};POST /api/v1/identity/sessions/{id}/retry,GET /admin-api/v1/identities;GET /admin-api/v1/identities/{userId};POST /admin-api/v1/identity-sessions/{id}/review,identity_profiles;identity_verification_sessions;identity_provider_requests;identity_review_records;sensitive_data_access_logs;users;user_profiles;user_settings;user_status_logs,IDENTITY_STATUS,identity;storage;auth,identity.active_provider;identity.provider.appcode;identity.liveness.token_url;identity.liveness.result_url;identity.face_compare.url;identity.max_daily_attempts;identity.one_id_one_account;identity.liveness.poll_interval_ms;identity.liveness.poll_timeout_seconds;identity.liveness.return_url;identity.face_compare.auto_pass_code;identity.face_compare.manual_review_code;identity.photo.preview_watermark;identity.photo.retention_days;identity.admin_preview_ttl_seconds;storage.default_provider;storage.scope.public_media.provider;storage.scope.private_kyc.provider;storage.scope.private_chat.provider;storage.scope.audit_evidence.provider;storage.scope.apk_release.provider;storage.scope.backup.provider;storage.r2.account_id;storage.r2.access_key_id;storage.r2.secret_access_key;storage.r2.endpoint;storage.r2.public_domain;storage.r2.bucket.public_media;storage.r2.bucket.private_kyc;storage.r2.bucket.private_chat;storage.r2.bucket.audit_evidence;storage.r2.bucket.apk_release;storage.r2.bucket.backup;storage.aliyun_oss.endpoint;storage.aliyun_oss.region;storage.aliyun_oss.access_key_id;storage.aliyun_oss.access_key_secret;storage.aliyun_oss.public_domain;storage.aliyun_oss.bucket.public_media;storage.aliyun_oss.bucket.private_kyc;storage.aliyun_oss.bucket.private_chat;storage.aliyun_oss.bucket.audit_evidence;storage.aliyun_oss.bucket.apk_release;storage.aliyun_oss.bucket.backup;storage.upload.max_image_mb;storage.signed_url.ttl_seconds;storage.upload.image.allowed_mime;storage.upload.image.max_mb;storage.upload.chat_image.max_mb;storage.upload.kyc_image.max_mb;storage.upload.apk.max_mb;storage.private_preview.ttl_seconds;storage.delete.delay_hours;storage.migration.batch_size;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;auth.invite.h5_required;auth.nickname.prefix;auth.nickname.random_digits;auth.security_challenge.ttl_seconds;auth.security_challenge.max_attempts;auth.password.require_letters;auth.password.require_digits;auth.session.access_ttl_seconds;auth.session.refresh_ttl_seconds;auth.session.max_active_devices;auth.registration.daily_ip_limit;auth.registration.daily_device_limit;auth.login.daily_ip_failure_limit,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-ID_001-HAPPY;TST-ID_001-IDEMPOTENT;TST-ID_001-REJECT;TST-ID_001-SECURITY,releases/R05/STORIES.yaml;releases/R05/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-CONTENT-001,四类统一内容模型,R06,P0,SCR-HOME-001;SCR-LIST-001;SCR-LIST-002;SCR-LIST-003;SCR-LIST-004;SCR-DETAIL-001;SCR-DETAIL-002;SCR-DETAIL-003;SCR-DETAIL-004;ADM-CONTENT-001;ADM-CONTENT-002;ADM-CONTENT-003,GET /api/v1/home;GET /api/v1/contents;GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share,GET /admin-api/v1/contents;GET /admin-api/v1/contents/{id};GET /admin-api/v1/content-dictionaries;POST /admin-api/v1/contents/{id}/online;POST /admin-api/v1/contents/{id}/offline;POST /admin-api/v1/contents/{id}/ban;POST /admin-api/v1/contents/{id}/recommend;POST /admin-api/v1/contents/{id}/official-mark,home_modules;banners;content_posts;content_stats;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports,CONTENT_STATUS,content;storage;chat,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;storage.default_provider;storage.scope.public_media.provider;storage.scope.private_kyc.provider;storage.scope.private_chat.provider;storage.scope.audit_evidence.provider;storage.scope.apk_release.provider;storage.scope.backup.provider;storage.r2.account_id;storage.r2.access_key_id;storage.r2.secret_access_key;storage.r2.endpoint;storage.r2.public_domain;storage.r2.bucket.public_media;storage.r2.bucket.private_kyc;storage.r2.bucket.private_chat;storage.r2.bucket.audit_evidence;storage.r2.bucket.apk_release;storage.r2.bucket.backup;storage.aliyun_oss.endpoint;storage.aliyun_oss.region;storage.aliyun_oss.access_key_id;storage.aliyun_oss.access_key_secret;storage.aliyun_oss.public_domain;storage.aliyun_oss.bucket.public_media;storage.aliyun_oss.bucket.private_kyc;storage.aliyun_oss.bucket.private_chat;storage.aliyun_oss.bucket.audit_evidence;storage.aliyun_oss.bucket.apk_release;storage.aliyun_oss.bucket.backup;storage.upload.max_image_mb;storage.signed_url.ttl_seconds;storage.upload.image.allowed_mime;storage.upload.image.max_mb;storage.upload.chat_image.max_mb;storage.upload.kyc_image.max_mb;storage.upload.apk.max_mb;storage.private_preview.ttl_seconds;storage.delete.delay_hours;storage.migration.batch_size;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-CONTENT_001-HAPPY;TST-CONTENT_001-IDEMPOTENT;TST-CONTENT_001-REJECT,releases/R06/STORIES.yaml;releases/R06/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-CONTENT-002,内容无自动过期,R12,P0,SCR-MYC-001;SCR-MYC-002;SCR-MYC-003;SCR-MYC-004;SCR-MYC-005,GET /api/v1/me/contents;POST /api/v1/contents/{id}/online;POST /api/v1/contents/{id}/offline;GET /api/v1/me/drafts;DELETE /api/v1/contents/{id};GET /api/v1/contents/{id};POST /api/v1/contents/{id}/copy;GET /api/v1/contents/{id}/analytics;GET /api/v1/contents/{id}/reviews,N/A_NO_ADMIN_API,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs,CONTENT_STATUS,content;storage,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;storage.default_provider;storage.scope.public_media.provider;storage.scope.private_kyc.provider;storage.scope.private_chat.provider;storage.scope.audit_evidence.provider;storage.scope.apk_release.provider;storage.scope.backup.provider;storage.r2.account_id;storage.r2.access_key_id;storage.r2.secret_access_key;storage.r2.endpoint;storage.r2.public_domain;storage.r2.bucket.public_media;storage.r2.bucket.private_kyc;storage.r2.bucket.private_chat;storage.r2.bucket.audit_evidence;storage.r2.bucket.apk_release;storage.r2.bucket.backup;storage.aliyun_oss.endpoint;storage.aliyun_oss.region;storage.aliyun_oss.access_key_id;storage.aliyun_oss.access_key_secret;storage.aliyun_oss.public_domain;storage.aliyun_oss.bucket.public_media;storage.aliyun_oss.bucket.private_kyc;storage.aliyun_oss.bucket.private_chat;storage.aliyun_oss.bucket.audit_evidence;storage.aliyun_oss.bucket.apk_release;storage.aliyun_oss.bucket.backup;storage.upload.max_image_mb;storage.signed_url.ttl_seconds;storage.upload.image.allowed_mime;storage.upload.image.max_mb;storage.upload.chat_image.max_mb;storage.upload.kyc_image.max_mb;storage.upload.apk.max_mb;storage.private_preview.ttl_seconds;storage.delete.delay_hours;storage.migration.batch_size,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-CONTENT_002-HAPPY;TST-CONTENT_002-IDEMPOTENT;TST-CONTENT_002-REJECT,releases/R12/STORIES.yaml;releases/R12/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
REQ-TEAM-001,一账号一份资料,R11,P0,SCR-LIST-004;SCR-DETAIL-004;SCR-PUB-005;H5-007,GET /api/v1/contents;GET /api/v1/contents/{id};POST /api/v1/contents/{id}/contacts/{channel}/access;POST /api/v1/conversations/direct;POST /api/v1/contents/{id}/favorite;POST /api/v1/contents/{id}/share;POST /api/v1/contents;PATCH /api/v1/contents/{id};GET /public-api/v1/share/contents/{id},N/A_NO_ADMIN_API,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,CONTENT_STATUS,content;chat;platform,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions;content.limit.month.pending;content.limit.month.drafts;content.limit.month.daily_submissions;content.limit.quarter.pending;content.limit.quarter.drafts;content.limit.quarter.daily_submissions;content.limit.year.pending;content.limit.year.drafts;content.limit.year.daily_submissions;content.title.max_chars;content.summary.max_chars;content.body.max_chars;content.media.max_images.project;content.media.max_images.app;content.media.max_images.group;content.media.max_images.team_leader;content.online_edit.review_strategy;content.contact.access_audit_enabled;chat.stranger.daily_conversation_limit;chat.message.per_minute_limit;chat.image.max_mb;chat.history.retention_days;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_specifications.csv;docs/02-ui/page-specs/,catalogs/ui_action_matrix.csv,TST-TEAM_001-HAPPY;TST-TEAM_001-IDEMPOTENT;TST-TEAM_001-REJECT,releases/R11/STORIES.yaml;releases/R11/TASKS.yaml,catalogs/release_definition_of_ready.csv,开发后由CI回填,FROZEN_READY_V1.2.2
