动作ID,平台,UI_ID,页面,路由,动作,触发条件,API契约,operationId,请求Schema,权限,幂等键,成功状态,失败状态,埋点,需求ID,测试ID,成熟度,动作类型,入口组件,显示条件,可用条件,前置校验,输入字段,二次确认,请求映射,并发控制,加载表现,重试策略,成功后导航,数据刷新范围,审计要求,敏感处理,离线策略,响应Schema,DoR状态
ACT-ID-001-03,ANDROID,SCR-ID-001,实名认证首页,/me/identity,读取实名总览,页面进入、显式重试、从身份子页返回或应用恢复时触发；相同请求避免并发重复,GET /api/v1/identity/overview,identityGetIdentityOverview,IdentityGetIdentityOverviewParameters,登录,不要求,以服务端status和activeSession恢复未认证、认证中、人工审核或已认证页面；活动会话继续原流程且已认证禁止新建,401返回登录；403收回实名入口；500保留页面结构并提供重新加载且不显示技术字段,ui_action_scr_id_001_03,REQ-ID-001;REQ-ID-002,TST-ID_001-HAPPY;TST-ID_002-HAPPY,FROZEN_DETAILED_V1.2.2,DETAIL_QUERY,页面进入自动加载与失败态重新加载按钮,用户已登录且进入实名认证首页,网络可用且不存在相同总览请求,仅使用当前登录上下文,无业务请求体,不需要,GET /api/v1/identity/overview；请求模型 IdentityGetIdentityOverviewParameters；响应模型 IdentityGetIdentityOverviewResponse,同请求去重,首次进入展示冻结加载状态；返回恢复保留页面结构并轻量刷新,GET可由失败态按钮重试；不得用本地缓存执行重复创建,按服务端状态留在首页或继续活动会话；已认证返回我的,仅更新实名首页状态和活动会话缓存；不得清空其他业务缓存,只记录加载成功或失败分类；不记录会话URL、身份信息或技术响应,activeSession仅用于内存导航；不得展示供应商、内部状态码和请求编号,离线保留页面结构并禁用创建操作,IdentityGetIdentityOverviewResponse,READY_FOR_IMPLEMENTATION
ACT-APP-001-01,ANDROID,SCR-APP-001,启动页,/splash,启动维护状态、注册/发布/红包/提现总开关和服务端时间,页面首次进入、下拉刷新、筛选/排序变化或滚动触底时触发；相同查询条件避免并发重复请求,GET /public-api/v1/platform/status,publicGetPlatformStatus,PublicGetPlatformStatusParameters,公开,不要求,首屏替换数据，翻页仅追加去重；更新分页、筛选回显、总数/游标和最后刷新时间；空结果进入业务空状态,首屏失败显示全页错误与重试；刷新失败保留旧数据并提示；翻页失败保留已加载数据并提供行内重试；401跳登录或会话升级，403显示无权限，404不适用,ui_action_scr_app_001_01,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,FROZEN_DETAILED_V1.2.2,LIST_QUERY,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,页面具备读取权限；筛选项按数据范围和角色显示,网络可用；非正在刷新；翻页时 nextCursor/hasNext 为真,"校验 page,pageSize,cursor,status,keyword,sort",page;pageSize;cursor;status;keyword;sort,不需要,GET /public-api/v1/platform/status；请求模型 PublicGetPlatformStatusParameters；响应模型 PublicGetPlatformStatusResponse,同资源单写请求锁；状态机服务端复核,首屏使用骨架屏；刷新保留现有数据；翻页使用列表尾部加载器,GET 可人工重试；网络瞬断最多指数退避自动重试 2 次；筛选变化取消旧请求,留在当前页；点击行/卡片按页面导航规格进入详情,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,PublicGetPlatformStatusResponse,READY_FOR_IMPLEMENTATION
ACT-APP-001-02,ANDROID,SCR-APP-001,启动页,/splash,按平台、版本号、渠道和环境返回可选/强制更新策略,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /public-api/v1/app/version-check,appReleasePostAppVersionCheck,AppReleasePostAppVersionCheckRequest,公开,不要求,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“按平台、版本号、渠道和环境返回可选/强制更新策略成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_app_001_02,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 公开，且资源状态允许“按平台、版本号、渠道和环境返回可选/强制更新策略”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 platform,versionCode,versionName,channel,environment",platform;versionCode;versionName;channel;environment,金额、权益或发布范围变化时二次确认；普通可撤销保存不需要,POST /public-api/v1/app/version-check；请求模型 AppReleasePostAppVersionCheckRequest；响应模型 AppReleasePostAppVersionCheckResponse,同资源单写请求锁；状态机服务端复核,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,写操作不自动重试；用户重新确认后使用最新 version 发起新请求,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,AppReleasePostAppVersionCheckResponse,READY_FOR_IMPLEMENTATION
ACT-APP-001-03,ANDROID,SCR-APP-001,启动页,/splash,刷新Token,用户显式提交且本地校验、安全挑战或会话升级条件已满足,POST /api/v1/auth/refresh,authPostAuthRefresh,AuthPostAuthRefreshRequest,RefreshToken,X-Idempotency-Key必填,更新认证会话或安全状态；清除一次性挑战和敏感输入；按来源跳转；记录安全审计但不记录秘密,字段错误就地提示；挑战过期要求重建；限流显示剩余时间；账号受限跳转账号受限页；服务端错误不清空可安全保留的非敏感字段,ui_action_scr_app_001_03,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-APP_RELEASE_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,AUTH_SECURITY,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,仅在当前认证状态允许时显示；已完成步骤不可重复展示,必填字段有效、验证码/挑战未过期、未触发倒计时或锁定,"校验 X-Idempotency-Key,refreshToken,deviceId；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",X-Idempotency-Key;refreshToken;deviceId,修改密码、解绑MFA、退出全部会话等高风险操作需要二次确认；登录和普通验证不需要,POST /api/v1/auth/refresh；请求模型 AuthPostAuthRefreshRequest；响应模型 AuthPostAuthRefreshResponse,X-Idempotency-Key + 服务端结果查询,锁定提交按钮，保留非敏感输入；密码、验证码和密钥不得写入日志、埋点或持久化,仅在获得新挑战/验证码或用户再次确认后重试；幂等键不得跨不同提交内容复用,按认证流程图跳转到首页、MFA、账号受限页或原始目标页,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,AuthPostAuthRefreshResponse,READY_FOR_IMPLEMENTATION
ACT-APP-002-01,ANDROID,SCR-APP-002,系统维护页,/maintenance,启动维护状态、注册/发布/红包/提现总开关和服务端时间,页面首次进入、下拉刷新、筛选/排序变化或滚动触底时触发；相同查询条件避免并发重复请求,GET /public-api/v1/platform/status,publicGetPlatformStatus,PublicGetPlatformStatusParameters,公开,不要求,首屏替换数据，翻页仅追加去重；更新分页、筛选回显、总数/游标和最后刷新时间；空结果进入业务空状态,首屏失败显示全页错误与重试；刷新失败保留旧数据并提示；翻页失败保留已加载数据并提供行内重试；401跳登录或会话升级，403显示无权限，404不适用,ui_action_scr_app_002_01,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,FROZEN_DETAILED_V1.2.2,LIST_QUERY,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,页面具备读取权限；筛选项按数据范围和角色显示,网络可用；非正在刷新；翻页时 nextCursor/hasNext 为真,"校验 page,pageSize,cursor,status,keyword,sort",page;pageSize;cursor;status;keyword;sort,不需要,GET /public-api/v1/platform/status；请求模型 PublicGetPlatformStatusParameters；响应模型 PublicGetPlatformStatusResponse,同资源单写请求锁；状态机服务端复核,首屏使用骨架屏；刷新保留现有数据；翻页使用列表尾部加载器,GET 可人工重试；网络瞬断最多指数退避自动重试 2 次；筛选变化取消旧请求,留在当前页；点击行/卡片按页面导航规格进入详情,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,PublicGetPlatformStatusResponse,READY_FOR_IMPLEMENTATION
ACT-APP-003-01,ANDROID,SCR-APP-003,更新提示,/update,按平台、版本号、渠道和环境返回可选/强制更新策略,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /public-api/v1/app/version-check,appReleasePostAppVersionCheck,AppReleasePostAppVersionCheckRequest,公开,不要求,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“按平台、版本号、渠道和环境返回可选/强制更新策略成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_app_003_01,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 公开，且资源状态允许“按平台、版本号、渠道和环境返回可选/强制更新策略”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 platform,versionCode,versionName,channel,environment",platform;versionCode;versionName;channel;environment,金额、权益或发布范围变化时二次确认；普通可撤销保存不需要,POST /public-api/v1/app/version-check；请求模型 AppReleasePostAppVersionCheckRequest；响应模型 AppReleasePostAppVersionCheckResponse,同资源单写请求锁；状态机服务端复核,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,写操作不自动重试；用户重新确认后使用最新 version 发起新请求,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,AppReleasePostAppVersionCheckResponse,READY_FOR_IMPLEMENTATION
ACT-APP-003-02,ANDROID,SCR-APP-003,更新提示,/update,最新APK下载信息,页面进入、显式刷新、从后台恢复且缓存过期，或收到相关领域事件后触发,GET /public-api/v1/app/latest,publicGetAppLatest,PublicGetAppLatestParameters,公开,不要求,以服务端返回的 version 和状态覆盖详情；重算按钮显示/可用条件；记录页面曝光和请求 requestId,404显示资源不存在或已下架并提供返回；403显示无权限；409触发重新拉取；网络失败保留缓存并标记可能过期,ui_action_scr_app_003_02,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,FROZEN_DETAILED_V1.2.2,DETAIL_QUERY,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,页面具备读取权限且路由参数完整,网络可用且不存在同资源进行中的请求,路由参数、权限和页面状态有效,无业务请求体；仅使用路由/会话上下文,不需要,GET /public-api/v1/app/latest；请求模型 PublicGetAppLatestParameters；响应模型 PublicGetAppLatestResponse,同资源单写请求锁；状态机服务端复核,首次进入使用结构骨架；刷新保留当前内容并显示轻量刷新态,GET 可人工重试；缓存可作为只读降级但禁止基于过期数据执行写操作,留在当前页；资源不存在时返回上一级并从来源列表移除或标记,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,PublicGetAppLatestResponse,READY_FOR_IMPLEMENTATION
ACT-AUTH-001-01,ANDROID,SCR-AUTH-001,密码登录,/login,创建图形/行为安全挑战,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /api/v1/auth/security-challenges,authPostAuthSecurityChallenges,AuthPostAuthSecurityChallengesRequest,公开,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“创建图形/行为安全挑战成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_auth_001_01,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 公开，且资源状态允许“创建图形/行为安全挑战”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 X-Idempotency-Key,scene,clientNonce,deviceFingerprint；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",X-Idempotency-Key;scene;clientNonce;deviceFingerprint,金额、权益或发布范围变化时二次确认；普通可撤销保存不需要,POST /api/v1/auth/security-challenges；请求模型 AuthPostAuthSecurityChallengesRequest；响应模型 AuthPostAuthSecurityChallengesResponse,X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,AuthPostAuthSecurityChallengesResponse,READY_FOR_IMPLEMENTATION
ACT-AUTH-001-02,ANDROID,SCR-AUTH-001,密码登录,/login,手机号+密码+安全验证登录,用户显式提交且本地校验、安全挑战或会话升级条件已满足,POST /api/v1/auth/password/login,authPostAuthPasswordLogin,AuthPostAuthPasswordLoginRequest,公开,X-Idempotency-Key必填,更新认证会话或安全状态；清除一次性挑战和敏感输入；按来源跳转；记录安全审计但不记录秘密,字段错误就地提示；挑战过期要求重建；限流显示剩余时间；账号受限跳转账号受限页；服务端错误不清空可安全保留的非敏感字段,ui_action_scr_auth_001_02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,AUTH_SECURITY,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,仅在当前认证状态允许时显示；已完成步骤不可重复展示,必填字段有效、验证码/挑战未过期、未触发倒计时或锁定,"校验 X-Idempotency-Key,phone,password,challengeId,challengeProof,device；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键；敏感值仅在内存中使用，不写日志、URL、埋点或本地明文缓存",X-Idempotency-Key;phone;password;challengeId;challengeProof;device,修改密码、解绑MFA、退出全部会话等高风险操作需要二次确认；登录和普通验证不需要,POST /api/v1/auth/password/login；请求模型 AuthPostAuthPasswordLoginRequest；响应模型 AuthPostAuthPasswordLoginResponse,X-Idempotency-Key + 服务端结果查询,锁定提交按钮，保留非敏感输入；密码、验证码和密钥不得写入日志、埋点或持久化,仅在获得新挑战/验证码或用户再次确认后重试；幂等键不得跨不同提交内容复用,按认证流程图跳转到首页、MFA、账号受限页或原始目标页,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,敏感字段按数据分级脱敏；密码、验证码、身份证、支付账号、秘密引用绝不进入埋点和普通日志,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,AuthPostAuthPasswordLoginResponse,READY_FOR_IMPLEMENTATION
ACT-AUTH-002-01,ANDROID,SCR-AUTH-002,短信验证码登录,/login/sms,创建图形/行为安全挑战,用户显式点击操作入口，且本地字段校验、权限、状态机前置条件全部满足,POST /api/v1/auth/security-challenges,authPostAuthSecurityChallenges,AuthPostAuthSecurityChallengesRequest,公开,X-Idempotency-Key必填,使用响应中的资源和 version 更新页面；清除已提交脏状态；展示“创建图形/行为安全挑战成功”；刷新受影响列表、详情、余额或配置版本,400逐字段映射；401要求重新认证；403隐藏后续写入口并记录越权拒绝；409提示数据已变化并重新加载；422展示业务原因且保留输入；429显示可重试时间；500保留上下文并提供 requestId,ui_action_scr_auth_002_01,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,FROZEN_DETAILED_V1.2.2,CREATE_OR_SUBMIT,页面主按钮/行操作/更多菜单/标准弹层，具体位置由模板和页面操作规格确定,具备权限 公开，且资源状态允许“创建图形/行为安全挑战”；按钮显示条件由页面状态表和状态机共同决定,不存在同资源写请求；必填字段有效；服务端 version 未被本地标记过期；需要审批时已选择审批单,"校验 X-Idempotency-Key,scene,clientNonce,deviceFingerprint；同一业务意图生成稳定 X-Idempotency-Key；请求体变化必须换键",X-Idempotency-Key;scene;clientNonce;deviceFingerprint,金额、权益或发布范围变化时二次确认；普通可撤销保存不需要,POST /api/v1/auth/security-challenges；请求模型 AuthPostAuthSecurityChallengesRequest；响应模型 AuthPostAuthSecurityChallengesResponse,X-Idempotency-Key + 服务端结果查询,提交期间锁定同资源写操作，保留输入并显示明确进度；禁止全页无反馈等待,使用同一幂等键仅重试同一请求体；若服务端已受理则先查询结果；409版本冲突不得盲重试,默认留在当前页并刷新；创建成功进入详情，支付/认证/发布结果按对应流程导航,当前资源、来源列表、全局角标/余额/待办中与该领域相关的缓存；禁止无差别清空全部缓存,记录必要业务埋点；读取高敏字段时额外记录访问审计,遵循最小采集；仅记录业务标识和状态，不记录自由文本中的个人信息,GET 可展示明确标记的最近缓存；写操作离线时禁止提交，不进入隐式离线队列,AuthPostAuthSecurityChallengesResponse,READY_FOR_IMPLEMENTATION
