平台,UI_ID,页面,路由,模板ID,计划版本,需求ID,API契约,operationId,数据表,配置组,配置项,字段规格,状态规格,动作规格,测试ID,UI参考,DoR状态,绑定成熟度
ANDROID,SCR-APP-001,启动页,/splash,MOB-GATE,R02,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001;REQ-PAGE-SPEC-001,GET /public-api/v1/platform/status;POST /public-api/v1/app/version-check;POST /api/v1/auth/refresh;GET /api/v1/app/version-check,publicGetPlatformStatus;appReleasePostAppVersionCheck;authPostAuthRefresh;appReleaseGetAppVersionCheck,h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs;app_build_profiles;app_build_jobs;app_build_job_steps;app_signing_profiles,platform;app_build;auth,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,catalogs/ui_page_fields.csv#SCR-APP-001,catalogs/ui_page_states.csv#SCR-APP-001,catalogs/ui_action_matrix.csv#SCR-APP-001,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-APP_RELEASE_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT;TST-V122-011,B01/P01/P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-APP-002,系统维护页,/maintenance,MOB-GATE,R02,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,GET /public-api/v1/platform/status,publicGetPlatformStatus,h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs;app_build_profiles;app_build_jobs;app_build_job_steps;app_signing_profiles,platform,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_fields.csv#SCR-APP-002,catalogs/ui_page_states.csv#SCR-APP-002,catalogs/ui_action_matrix.csv#SCR-APP-002,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,B01/P01/P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-APP-003,更新提示,/update,MOB-GATE,R02,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,POST /public-api/v1/app/version-check;GET /public-api/v1/app/latest,appReleasePostAppVersionCheck;publicGetAppLatest,app_versions;app_release_records;app_build_artifacts;h5_page_configs;cms_articles;agreements;content_posts;users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs;app_build_profiles;app_build_jobs;app_build_job_steps;app_signing_profiles,app_build;platform,app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,catalogs/ui_page_fields.csv#SCR-APP-003,catalogs/ui_page_states.csv#SCR-APP-003,catalogs/ui_action_matrix.csv#SCR-APP-003,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,B01/P01/P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-AUTH-001,密码登录,/login,MOB-AUTH-FORM,R02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/auth/security-challenges;POST /api/v1/auth/password/login,authPostAuthSecurityChallenges;authPostAuthPasswordLogin,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,catalogs/ui_page_fields.csv#SCR-AUTH-001,catalogs/ui_page_states.csv#SCR-AUTH-001,catalogs/ui_action_matrix.csv#SCR-AUTH-001,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-AUTH-002,短信验证码登录,/login/sms,MOB-AUTH-FORM,R02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/auth/security-challenges;POST /api/v1/auth/sms/send;POST /api/v1/auth/sms/login,authPostAuthSecurityChallenges;authPostAuthSmsSend;authPostAuthSmsLogin,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,catalogs/ui_page_fields.csv#SCR-AUTH-002,catalogs/ui_page_states.csv#SCR-AUTH-002,catalogs/ui_action_matrix.csv#SCR-AUTH-002,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-AUTH-003,注册账号,/register,MOB-AUTH-FORM,R02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004;REQ-AUTH-005,POST /api/v1/auth/security-challenges;POST /api/v1/auth/sms/send;POST /api/v1/auth/invite-codes/validate;POST /api/v1/auth/register,authPostAuthSecurityChallenges;authPostAuthSmsSend;authPostAuthInviteCodesValidate;authPostAuthRegister,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,catalogs/ui_page_fields.csv#SCR-AUTH-003,catalogs/ui_page_states.csv#SCR-AUTH-003,catalogs/ui_action_matrix.csv#SCR-AUTH-003,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_005-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT;TST-AUTH_005-IDEMPOTENT,B01/P02-P07,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-AUTH-004,忘记密码,/password/reset,MOB-AUTH-FORM,R02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/auth/security-challenges;POST /api/v1/auth/sms/send;POST /api/v1/auth/password/reset,authPostAuthSecurityChallenges;authPostAuthSmsSend;authPostAuthPasswordReset,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,catalogs/ui_page_fields.csv#SCR-AUTH-004,catalogs/ui_page_states.csv#SCR-AUTH-004,catalogs/ui_action_matrix.csv#SCR-AUTH-004,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-AUTH-005,账号冻结,/account-blocked,MOB-GATE,R02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,GET /api/v1/me;POST /api/v1/support/tickets,userGetMe;supportPostSupportTickets,users;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs,auth;system,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled,catalogs/ui_page_fields.csv#SCR-AUTH-005,catalogs/ui_page_states.csv#SCR-AUTH-005,catalogs/ui_action_matrix.csv#SCR-AUTH-005,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-AUTH-006,登录设备,/me/security/devices,MOB-AUTH-FORM,R02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,GET /api/v1/auth/sessions;DELETE /api/v1/auth/sessions/{id},authGetAuthSessions;authDeleteAuthSessionsById,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,catalogs/ui_page_fields.csv#SCR-AUTH-006,catalogs/ui_page_states.csv#SCR-AUTH-006,catalogs/ui_action_matrix.csv#SCR-AUTH-006,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-AUTH-007,修改登录密码,/me/security/password,MOB-AUTH-FORM,R02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/me/security/password/change,authPostMeSecurityPasswordChange,users;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;user_profiles;user_settings;user_status_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,catalogs/ui_page_fields.csv#SCR-AUTH-007,catalogs/ui_page_states.csv#SCR-AUTH-007,catalogs/ui_action_matrix.csv#SCR-AUTH-007,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B12/P03,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-AUTH-008,注销账号,/me/security/cancel,MOB-SETTINGS,R02,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/me/cancellation,userPostMeCancellation,users;user_profiles;user_settings;user_status_logs;h5_page_configs;cms_articles;agreements;app_versions;content_posts;app_release_records;app_build_artifacts;user_credentials;auth_security_challenges;user_sessions;user_devices;sms_verification_codes;login_logs;support_tickets;ticket_messages;ticket_attachments;ticket_status_logs,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,catalogs/ui_page_fields.csv#SCR-AUTH-008,catalogs/ui_page_states.csv#SCR-AUTH-008,catalogs/ui_action_matrix.csv#SCR-AUTH-008,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-HOME-001,首页,/home,MOB-HOME,R06,REQ-HOME-001;REQ-CONTENT-001,GET /api/v1/home,homeGetHome,home_modules;banners;content_posts;content_stats;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_favorites;content_view_logs;content_contact_access_logs;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports,content,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,catalogs/ui_page_fields.csv#SCR-HOME-001,catalogs/ui_page_states.csv#SCR-HOME-001,catalogs/ui_action_matrix.csv#SCR-HOME-001,TST-HOME_001-HAPPY;TST-CONTENT_001-HAPPY,B02/P01-P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-SEARCH-001,全局搜索,/search,MOB-SEARCH,R07,REQ-SEARCH-001,GET /api/v1/search/hot;GET /api/v1/search/history;GET /api/v1/search,searchGetSearchHot;searchGetSearchHistory;searchGetSearch,search_histories;hot_search_terms;content_posts,search,search.default_page_size;search.hot_keywords.max_count,catalogs/ui_page_fields.csv#SCR-SEARCH-001,catalogs/ui_page_states.csv#SCR-SEARCH-001,catalogs/ui_action_matrix.csv#SCR-SEARCH-001,TST-SEARCH_001-HAPPY,B02/P01-P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-SEARCH-002,搜索结果,/search/result,MOB-SEARCH,R07,REQ-SEARCH-001,GET /api/v1/search,searchGetSearch,search_histories;hot_search_terms;content_posts,search,search.default_page_size;search.hot_keywords.max_count,catalogs/ui_page_fields.csv#SCR-SEARCH-002,catalogs/ui_page_states.csv#SCR-SEARCH-002,catalogs/ui_action_matrix.csv#SCR-SEARCH-002,TST-SEARCH_001-HAPPY,B02/P01-P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-LIST-001,项目列表,/content/projects,MOB-LIST,R08,REQ-CONTENT-001;REQ-PROJECT-001,GET /api/v1/contents,contentGetContents,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;home_modules;banners;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,content,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,catalogs/ui_page_fields.csv#SCR-LIST-001,catalogs/ui_page_states.csv#SCR-LIST-001,catalogs/ui_action_matrix.csv#SCR-LIST-001,TST-CONTENT_001-HAPPY;TST-PROJECT_001-HAPPY,B02/P01-P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-LIST-002,App列表,/content/apps,MOB-LIST,R09,REQ-CONTENT-001;REQ-APP-PROMO-001,GET /api/v1/contents,contentGetContents,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;home_modules;banners;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,content,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,catalogs/ui_page_fields.csv#SCR-LIST-002,catalogs/ui_page_states.csv#SCR-LIST-002,catalogs/ui_action_matrix.csv#SCR-LIST-002,TST-CONTENT_001-HAPPY;TST-APP_PROMO_001-HAPPY,B02/P01-P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
ANDROID,SCR-LIST-003,群聊列表,/content/groups,MOB-LIST,R10,REQ-CONTENT-001;REQ-GROUP-001,GET /api/v1/contents,contentGetContents,content_posts;content_versions;content_status_logs;content_review_records;content_media;content_contacts;content_stats;content_favorites;content_view_logs;content_contact_access_logs;home_modules;banners;conversations;conversation_members;chat_messages;chat_read_receipts;user_blocks;chat_reports;h5_page_configs;cms_articles;agreements;app_versions,content,content.limit.normal.online;content.limit.month.online;content.limit.quarter.online;content.limit.year.online;content.team_leader_per_account;content.limit.normal.pending;content.limit.normal.drafts;content.limit.normal.daily_submissions,catalogs/ui_page_fields.csv#SCR-LIST-003,catalogs/ui_page_states.csv#SCR-LIST-003,catalogs/ui_action_matrix.csv#SCR-LIST-003,TST-CONTENT_001-HAPPY;TST-GROUP_001-HAPPY,B02/P01-P08,READY,EXACT_CONSTRUCTION_BOUND_V1.2.2
