ID,模块,页面,路由,菜单分组,读取权限,写入权限,敏感级别,功能摘要,计划版本,成熟度
ADM-DASH-001,总览,数据驾驶舱,/dashboard,dashboard,dashboard.read,dashboard.manage,NORMAL,用户、内容、商业、奖励、风险和待办,R30,ROUTE_PERMISSION_FROZEN
ADM-USER-001,用户,用户列表,/users,users,user.read,user.manage,NORMAL,筛选、导出、状态和风险,R02,ROUTE_PERMISSION_FROZEN
ADM-USER-002,用户,用户详情,/users/:id,users,user.read,user.manage,NORMAL,全景业务和操作,R02,ROUTE_PERMISSION_FROZEN
ADM-ID-001,实名,实名列表,/identity,identity,identity.read,identity.manage,HIGH,状态与风险,R05,ROUTE_PERMISSION_FROZEN
ADM-ID-002,实名,实名详情与复核,/identity/:id,identity,identity.read,identity.manage,HIGH,原图、结果、审计,R05,ROUTE_PERMISSION_FROZEN
ADM-CONTENT-001,内容,统一内容列表,/contents,contents,content.read,content.manage,NORMAL,四类内容,R06,ROUTE_PERMISSION_FROZEN
ADM-CONTENT-002,内容,内容详情,/contents/:id,contents,content.read,content.manage,NORMAL,版本、媒体、链接、数据,R06,ROUTE_PERMISSION_FROZEN
ADM-CONTENT-003,内容,字典与属性,/contents/dictionaries,contents,content.read,content.manage,NORMAL,地区、平台、人数、标签,R06,ROUTE_PERMISSION_FROZEN
ADM-REVIEW-001,审核,审核队列,/reviews,reviews,review.read,review.decide;review.assign,NORMAL,内容/红包/实名/申诉,R12,ROUTE_PERMISSION_FROZEN
ADM-RP-001,红包,红包活动列表,/red-packets,red-packets,redpacket.read,redpacket.manage,NORMAL,活动状态和金额,R20,ROUTE_PERMISSION_FROZEN
ADM-RP-002,红包,红包活动详情,/red-packets/:id,red-packets,redpacket.read,redpacket.manage,NORMAL,库存、会话、领取、账本,R23,ROUTE_PERMISSION_FROZEN
ADM-RP-003,红包,红包预审核,/red-packets/review,red-packets,redpacket.read,redpacket.manage,NORMAL,规则和内容联查,R20,ROUTE_PERMISSION_FROZEN
ADM-RP-004,红包,红包风险事件,/red-packets/risk,red-packets,redpacket.read,redpacket.manage,NORMAL,冻结和复核,R23,ROUTE_PERMISSION_FROZEN
ADM-PROD-001,商品,商品与SKU,/commerce/products,commerce,product.manage,product.manage,NORMAL,价格、权益、分佣,R30,ROUTE_PERMISSION_FROZEN
ADM-ORDER-001,订单,订单列表,/commerce/orders,commerce,order.read,order.manage,NORMAL,全商品订单,R16,ROUTE_PERMISSION_FROZEN
ADM-PAY-001,支付,支付交易,/commerce/payments,commerce,payment.read,payment.manage,HIGH,回调、查单、异常,R17,ROUTE_PERMISSION_FROZEN
ADM-RECON-001,支付,支付对账,/commerce/reconciliation,commerce,payment.reconcile,payment.reconcile,HIGH,差异和处理,R17,ROUTE_PERMISSION_FROZEN
ADM-REWARD-001,奖励,奖励账户,/finance/reward-accounts,finance,reward.read,reward.manage,HIGH,余额和来源,R24,ROUTE_PERMISSION_FROZEN
ADM-REWARD-002,奖励,奖励流水,/finance/reward-ledger,finance,reward.read,reward.manage,HIGH,结算、冻结、冲正,R24,ROUTE_PERMISSION_FROZEN
ADM-WD-001,提现,提现列表,/finance/withdrawals,finance,withdrawal.read,withdrawal.manage,HIGH,风控、财务、出款,R24,ROUTE_PERMISSION_FROZEN
ADM-WD-002,提现,提现详情,/finance/withdrawals/:id,finance,withdrawal.read,withdrawal.manage,HIGH,手续费、支付宝、出款,R24,ROUTE_PERMISSION_FROZEN
ADM-MEMBER-001,会员,会员SKU,/commerce/membership/skus,commerce,membership.manage,membership.manage,NORMAL,月季年和权益,R18,ROUTE_PERMISSION_FROZEN
ADM-MEMBER-002,会员,用户会员,/commerce/membership/users,commerce,membership.manage,membership.manage,NORMAL,分段、升级、快照,R18,ROUTE_PERMISSION_FROZEN
ADM-PROP-001,道具,道具商品,/commerce/props/products,commerce,prop.manage,prop.manage,NORMAL,四种道具,R19,ROUTE_PERMISSION_FROZEN
