ID,页面,路由,访问,功能摘要,计划版本
H5-001,品牌宣传下载页,/,公开,品牌官网式页面、下载APK,R28
H5-002,安装教程,/install-guide,公开,未知来源安装和常见问题,R28
H5-003,邀请落地页,/invite/{code},公开,邀请信息、下载归因,R28
H5-013,H5邀请注册页,/invite/{code}/register,公开,邀请码必填，密码注册+安全验证+阿里云短信，成功跳下载页,R02
H5-004,项目分享页,/share/project/{id},公开,项目预览和下载引导,R28
H5-005,App分享页,/share/app/{id},公开,App预览和下载引导,R28
H5-006,群聊分享页,/share/group/{id},公开,群预览，不公开完整联系,R28
H5-007,团队长分享页,/share/team-leader/{id},公开,团队长预览,R28
H5-008,统一收银台,/cashier/{orderNo},登录态/一次性令牌,商品、渠道、协议,R17
H5-009,支付结果,/payment/result,公开回跳+查单,展示平台查单结果,R17
H5-010,协议与规则,/agreement/{code},公开,版本化协议,R15
H5-011,帮助文章,/help/{id},公开,帮助内容,R15
H5-012,活体回跳,/identity/callback,一次性state,通知App轮询状态,R05
