领域,表名,用途,关键字段,约束/说明,计划版本
账号,users,用户主账号,"id, phone, status, invite_code, created_at",phone唯一；软删除,R02
账号,user_credentials,登录凭证,"user_id, password_hash, algorithm, password_changed_at, failed_count, locked_until",user_id唯一；Argon2id/BCrypt,R02
账号,auth_security_challenges,安全验证挑战,"id, type, answer_hash, expires_at, used_at, ip, device_id",一次性、短期保留,R02
账号,password_reset_sessions,重置密码会话,"id, phone, sms_verification_id, expires_at, used_at",一次性,R02
账号,registration_records,注册记录,"user_id, channel, phone, invite_code, inviter_id, rule_version, ip, device_id",审计保留,R02
账号,user_profiles,公开资料,"user_id, nickname, avatar, bio, region",user_id唯一；注册时生成“合伙人+数字”昵称,R02
账号,user_sessions,登录会话,"user_id, access_jti, refresh_hash, device_id, expires_at",refresh_hash唯一,R02
账号,user_devices,设备,"user_id, device_fingerprint, model, last_seen",用户+指纹索引,R02
账号,sms_verification_codes,验证码,"phone, scene, code_hash, expires_at, attempts, provider_message_id",短期保留,R02
账号,sms_send_logs,阿里云短信发送记录,"phone, scene, template_code, provider_message_id, result, ip, device_id",时间与手机号索引,R02
账号,login_logs,登录日志,"user_id, phone, ip, device_id, result",时间索引,R02
账号,user_settings,用户设置,"user_id, notification_json, privacy_json",user_id唯一,R02
账号,user_status_logs,账号状态历史,"user_id, from_status, to_status, reason, operator",不可删除,R02
账号,user_restrictions,用户当前限制,"user_id, restriction_type, reason, expires_at, status, created_by, removed_by, version",用户+类型唯一活动限制；到期与解除可追溯,R02
实名,identity_profiles,当前实名资料,"user_id, name_cipher, id_no_cipher, id_hash, status",id_hash唯一策略,R05
实名,identity_verification_sessions,实名尝试,"user_id, state, status, provider, expires_at",state唯一,R05
实名,identity_provider_requests,第三方请求记录,"session_id, request_type, provider_order_no, response_cipher",订单号索引,R05
实名,identity_media,实名媒体,"session_id, media_object_id, media_type",私有对象,R05
实名,identity_review_records,人工复核,"session_id, decision, reason, admin_id",审计,R05
实名,sensitive_data_access_logs,敏感查看日志,"admin_id, user_id, resource, reason, ip",不可删除,R05
媒体,media_objects,对象元数据,"owner_id, bucket, object_key, mime, size, sha256, visibility",bucket+key唯一,R04
媒体,upload_sessions,上传会话,"user_id, scene, status, expires_at",过期清理,R04
媒体,media_access_tokens,临时访问令牌,"media_id, subject, expires_at, used_at",一次或短期,R04
内容,content_posts,内容主表,"owner_id, type, title, summary, status, review_status, refresh_times",类型+状态索引,R06-R13
内容,project_details,项目扩展,"content_id, cooperation, conditions, region, website",content_id唯一,R06-R13
内容,app_details,App扩展,"content_id, app_name, platform, version_text, download_url, website",content_id唯一；无apk字段,R06-R13
内容,group_details,群扩展,"content_id, platform, size_range, join_requirement, qr_media_id, group_link, group_no",content_id唯一；join_requirement仅为入群要求；ONLINE必须有平台、入群通道和独立群主联系方式；二维码引用受RESTRICT保护,R06-R13
内容,team_leader_details,团队长扩展,"content_id, team_name, size_range, skills, cooperation_types",owner唯一活动资料,R06-R13
内容,content_media,内容媒体,"content_id, media_id, media_type, sort_order, removed_at",内容+媒体唯一；移除仅软标记并保留历史,R06-R13
内容,content_contacts,内容联系方式及受保护入群口令,"content_id, channel, value_cipher, display_mask, sort_order, removed_at",内容内渠道和顺序唯一；JOIN_PASSWORD仅GROUP且每内容唯一，使用V032加密信封与掩码并经显式访问审计，不计作群主联系方式；移除仅软标记,R06-R13
内容,content_versions,内容版本,"content_id, version_no, snapshot_json, created_by",内容+版本唯一,R06-R13
内容,content_status_logs,状态日志,"content_id, from_status, to_status, reason, operator, transition_version",不可删除；V039后按内容版本唯一,R06-R13
内容,content_review_records,审核记录,"content_id, version_no, decision, reason, admin_id, snapshot_version_id, command_id",不可删除；绑定提交快照并按命令幂等；同快照最多一次ESCALATE且二审必须重新分配后由被分配管理员决定,R06-R13
内容,content_stats,累计统计,"content_id, organic_views, redpacket_views, task_views, favorites, chats, contacts",content_id唯一,R06-R13
内容,content_daily_stats,每日统计,"content_id, stat_date, metrics_json",内容+日期唯一,R06-R13
内容,content_favorites,收藏,"user_id, content_id, created_at",用户+内容唯一,R06-R13
内容,content_view_logs,浏览事件,"user_id, content_id, traffic_type, duration, source",时间分区/归档,R06-R13
内容,content_contact_access_logs,联系方式访问,"user_id, content_id, channel, action",防重复和统计,R06-R13
内容,content_reports,内容举报,"reporter_id, content_id, type, description, status",状态索引,R06-R13
内容,content_appeals,内容申诉,"content_id, owner_id, review_record_id, status",关联审核,R06-R13
内容,publisher_follows,关注发布者,"user_id, publisher_id",唯一,R06-R13
搜索,search_histories,搜索历史,"user_id, keyword, created_at",用户时间索引,R07
搜索,hot_search_terms,热搜词,"keyword, weight, enabled, starts_at, ends_at",后台配置,R07
