ID,类别,指标,目标,说明
NFR-001,可用性,核心API月可用性,>=99.9%,排除计划维护窗口
NFR-002,性能,普通读接口P95,<=500ms,STAGING和生产监控
NFR-003,性能,复杂聚合接口P95,<=1000ms,首页/统计允许更高但需缓存
NFR-004,消息,在线消息送达P95,<=1秒,服务正常和网络可用
NFR-005,红包,领取并发一致性,0超发,库存、锁定、领取全链路
NFR-006,支付,重复回调重复履约,0,幂等与唯一约束
NFR-007,账务,账实差异,0,日对账和可重算流水
NFR-008,恢复,数据库RPO,<=15分钟,生产备份策略
NFR-009,恢复,核心服务RTO,<=2小时,灾备演练
NFR-010,兼容,Android最低版本,Android 8.0/API 26（P00可复核）,正式target/compile使用P00时稳定版本
NFR-011,兼容,屏幕宽度,360/390/412/430dp,真机与模拟器
NFR-012,兼容,字体缩放,1.0/1.15/1.30,关键页面不破版
NFR-013,安全,P0/P1安全缺陷,上线前为0,扫描+人工复核
NFR-014,容量,初始压测目标,10万注册/1万DAU/1000并发在线,按实际运营增长扩容
