risk_id,status,severity,category,title,affected_release,blocks_current_development,current_evidence,mitigation,owner,trigger,acceptance_evidence,classification,document_gap,documentation_treatment
RISK-ANDROID-BUILD,OPEN_RECORDED,HIGH,mobile,Android SDK/Gradle 实际编译尚未在当前环境执行,P00,false,工程静态结构、Wrapper、版本锁定及CI脚本已通过Project Doctor,在具备 Android SDK 37 的CI执行 lintDebug、testDebugUnitTest、assembleDebug；失败即阻断P00关闭,android_owner,首个Android变更合并前及P00退出,CI日志与可安装debug APK,IMPLEMENTATION_GATE,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-POSTGRES-RUNTIME,OPEN_RECORDED,HIGH,database,真实 PostgreSQL 17.10 空库/升级库执行仍需CI确认,P00/R01,false,pglast解析通过；PGlite执行8个迁移、188表及会计不变量通过,CI使用postgres:17.10运行 scripts/run_postgres_migration_smoke.sh；后续补充升级库快照测试,data_owner,首次数据库变更合并前及每次迁移PR,PostgreSQL 17.10 smoke日志和升级库报告,IMPLEMENTATION_GATE,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-COMPOSE-RUNTIME,OPEN_RECORDED,MEDIUM,infrastructure,本地 Docker Compose 全栈启动未在当前环境执行,P00,false,Compose清单和镜像版本已通过静态门禁,开发机或CI执行 make infra-up、健康检查和 make infra-down,platform_owner,P00环境验收,服务健康检查、启动/关闭日志,IMPLEMENTATION_GATE,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-PRIVATE-REPOSITORY,OPEN_RECORDED,MEDIUM,governance,用户私有Git仓库、分支保护和权限尚未初始化,P00,false,当前交付为下载包且无Git元数据,导入用户自有私有仓库，启用main保护、必需检查和最小权限,project_owner,正式提交首个开发变更前,仓库设置截图或审计导出,EXTERNAL_ACTIVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-SMS-SANDBOX,OPEN_RECORDED,HIGH,provider,短信测试/生产签名、模板和SecretRef待提供,R02/R03,false,Provider SPI和配置生命周期已冻结,先接Mock/沙箱Provider；R02联调前提供测试资料，生产上线前提供正式资料,sms_owner,R02集成测试及生产发布,连接测试报告、模板审核记录、SecretRef标识,EXTERNAL_ACTIVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-STORAGE-SANDBOX,OPEN_RECORDED,HIGH,provider,对象存储测试桶、跨域、生命周期和SecretRef待激活,R03/R04,false,存储Provider SPI、域名和配置表已冻结,使用隔离测试桶联调上传/回收/迁移；验证CORS、生命周期、最小权限,storage_owner,R04媒体上传联调前,连接测试、桶策略、生命周期和恢复演练,EXTERNAL_ACTIVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-IDENTITY-SANDBOX,OPEN_RECORDED,CRITICAL,provider,实名认证/活体供应商沙箱、回调白名单和合规资料待提供,R05,false,IdentityProvider SPI、状态机及回调契约已冻结,R05前完成沙箱开通、验签、重复/乱序回调和敏感数据审计,identity_owner,R05集成测试前,沙箱测试报告、回调验签证据、合规确认,EXTERNAL_ACTIVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-PAYMENT-SANDBOX,OPEN_RECORDED,CRITICAL,finance-provider,支付商户、证书、回调域名和对账文件待提供,R16/R32,false,PaymentGateway SPI、幂等、会计和对账模型已冻结,先实现沙箱适配器和契约测试；R16前完成支付闭环，R32前完成生产演练,payment_owner,R16支付集成及R32生产发布,支付沙箱报告、验签/重放测试、日对账结果,EXTERNAL_ACTIVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-PAYOUT-SANDBOX,OPEN_RECORDED,CRITICAL,finance-provider,支付宝企业付款/出款商户和证书待提供,R22/R32,false,PayoutGateway SPI、提现状态机及冲正模型已冻结,R22前完成沙箱出款、失败退回、乱序回调和双人审批联调,withdrawal_owner,R22提现集成及R32生产发布,出款沙箱报告、回调/对账/冲正证据,EXTERNAL_ACTIVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-DNS-CERTIFICATE,OPEN_RECORDED,HIGH,domain,orbexa.cc DNS写权限和生产证书激活待用户完成,R03,false,域名计划、DNS动作表和证书模型已冻结,R03 TASK-R03-007登记每个记录、责任人、TTL、证书指纹和验收状态,domain_owner,R03外部激活门禁,DNS解析、TLS扫描和证书指纹证据,EXTERNAL_ACTIVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-ANDROID-SIGNING,OPEN_RECORDED,CRITICAL,release,生产Android签名密钥和受保护CI Profile待创建,R29,false,配置项已改为无默认值的SecretRef，仓库不含密钥,由项目所有者/受保护CI生成和托管；只向系统暴露引用和证书指纹,app_build_owner,首个正式签名包前,签名指纹、受保护变量审计和安装验证,EXTERNAL_ACTIVATION,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
RISK-LOAD-CONCURRENCY,OPEN_RECORDED,CRITICAL,quality,支付、红包、奖励、提现的真实并发/故障注入尚未执行,R16/R19/R22/R32,false,60项高风险场景和数据库不变量已登记,按版本执行库存1并发、回调重放、MQ重复、Redis故障、账务重建和容量压测,qa_owner,对应高风险版本退出及上线前,压测报告、故障注入报告、零账务差异,IMPLEMENTATION_GATE,false,已明确版本、责任人、触发点、缓解和关闭证据；不属于开发前文档缺口
