组件ID,名称,平台,类别,关键Token,必须状态,使用规则,状态
CMP-NAV-001,顶部导航,Android/H5,导航,56dp; icon24; pageTitle,"default,scrolled,loading",同级页面返回图标统一，右侧最多2个动作,PLANNED
CMP-NAV-002,底部五栏导航,Android,导航,64dp+safeArea; icon24; label11sp,"default,selected,badge",固定首页/红包/发布/消息/我的,PLANNED
CMP-BTN-001,主按钮,All,操作,height48; radius12; button15sp,"default,pressed,loading,disabled",同页仅一个视觉最强主按钮,PLANNED
CMP-BTN-002,次按钮,All,操作,height48; radius12; border1,"default,pressed,disabled",白底蓝边,PLANNED
CMP-FORM-001,单行输入框,All,表单,height52; radius12; body14sp,"default,focused,error,disabled,readonly",错误说明不可只用颜色表达,PLANNED
CMP-FORM-002,多行输入框,All,表单,minHeight112; radius12,"default,focused,error,disabled",自适应并显示字数,PLANNED
CMP-FORM-003,选择器,All,表单,height52; radius12,"default,selected,disabled,error",选项来自配置字典,PLANNED
CMP-FORM-004,媒体上传器,All,表单,imageRatio; radius12,"empty,uploading,success,error,reorder",显示上传进度和失败重试,PLANNED
CMP-CARD-001,统一内容卡片,Android/H5,内容,radius14; padding16; cardTitle16,"default,headline,top,color,redPacket,offline",四类内容共用骨架,PLANNED
CMP-CARD-002,发布者信息条,Android/H5,内容,avatar48; body14,"normal,pro,verified,official",Pro/实名/官方标识语义分开,PLANNED
CMP-BADGE-001,Pro标识,All,标识,proGradient; pill; caption12,"active,expired",月季年公开统一Pro,PLANNED
CMP-BADGE-002,状态标签,All,标识,chip28; radius8,"info,success,warning,error,disabled",使用固定语义颜色,PLANNED
CMP-STATE-001,页面骨架屏,All,状态,skeletonRadius8,loading,结构匹配真实页面,PLANNED
CMP-STATE-002,空状态,All,状态,illustration; body14,"empty,noResult,noPermission",含清晰下一步动作,PLANNED
CMP-STATE-003,错误状态,All,状态,error color; retry,"network,server,business",展示requestId给客服定位,PLANNED
CMP-DIALOG-001,确认弹窗,All,反馈,radius20; elevation8,"normal,danger,loading",危险操作二次确认,PLANNED
CMP-SHEET-001,底部弹层,Android/H5,反馈,topRadius24; handle32x4,"collapsed,expanded,loading",不遮挡关键上下文,PLANNED
CMP-TOAST-001,Snackbar,All,反馈,height48; 4s,"success,error,action",业务结果优先Snackbar,PLANNED
CMP-TAB-001,标签页,All,导航,height48; indicator2,"default,selected,scrollable",标签过多可滚动,PLANNED
