operationId,方法,路径,用途,权限,计划版本,错误码,400处理,401处理,403处理,404处理,409处理,422处理,429处理,500处理,成熟度
authPostAuthSecurityChallenges,POST,/api/v1/auth/security-challenges,创建图形/行为安全挑战,公开,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
authPostAuthPasswordLogin,POST,/api/v1/auth/password/login,手机号+密码+安全验证登录,公开,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-422-SECURITY_CHALLENGE_INVALID;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,仅AUTH-422-SECURITY_CHALLENGE_INVALID刷新安全验证码；其他422展示对应业务原因,显示服务端重试时间,保留上下文并提供用户可理解的重试提示,FROZEN_V1.2.2
authPostAuthSmsSend,POST,/api/v1/auth/sms/send,阿里云短信验证码：LOGIN/RESET_PASSWORD,公开+安全挑战,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-422-SECURITY_CHALLENGE_INVALID;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,仅AUTH-422-SECURITY_CHALLENGE_INVALID刷新安全验证码；其他422展示对应业务原因,显示服务端重试时间,短信通道失败显示服务暂不可用且不得误报网络断开,FROZEN_V1.2.2
authPostAuthSmsLogin,POST,/api/v1/auth/sms/login,已注册手机号短信验证码登录,公开,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
authPostAuthInviteCodesValidate,POST,/api/v1/auth/invite-codes/validate,校验邀请码和注册必填规则,公开,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
authPostAuthRegister,POST,/api/v1/auth/register,密码注册、安全验证、邀请码绑定、随机用户名,公开,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-422-SECURITY_CHALLENGE_INVALID;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,仅AUTH-422-SECURITY_CHALLENGE_INVALID刷新安全验证码；注册业务422提示检查手机号、密码和邀请码,显示服务端重试时间,保留上下文并提供用户可理解的重试提示,FROZEN_V1.2.2
authPostAuthPasswordReset,POST,/api/v1/auth/password/reset,短信校验后重置密码,公开,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
authPostMeSecurityPasswordChange,POST,/api/v1/me/security/password/change,修改登录密码,登录,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
authPostAuthRefresh,POST,/api/v1/auth/refresh,刷新Token,RefreshToken,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
authPostAuthLogout,POST,/api/v1/auth/logout,退出当前会话,登录,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
authGetAuthSessions,GET,/api/v1/auth/sessions,登录设备列表,登录,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
authDeleteAuthSessionsById,DELETE,/api/v1/auth/sessions/{id},下线设备,登录,R02,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL;AUTH-401-SESSION_REVOKED;AUTH-423-ACCOUNT_RESTRICTED,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
userGetMe,GET,/api/v1/me,当前用户资料,登录,R02/R07/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
userPatchMeProfile,PATCH,/api/v1/me/profile,修改头像昵称简介,登录,R02/R07/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
userGetPublishersById,GET,/api/v1/publishers/{id},发布者公开主页,登录,R02/R07/R12,COMMON-400-VALIDATION;COMMON-401-UNAUTHENTICATED;COMMON-403-FORBIDDEN;COMMON-404-NOT_FOUND;COMMON-409-VERSION_CONFLICT;COMMON-422-BUSINESS_RULE;COMMON-429-RATE_LIMITED;COMMON-500-INTERNAL,逐字段映射，不使用通用失败Toast,刷新/重新认证并恢复安全目标,收回操作入口且不泄露资源存在性,进入资源不存在/失效状态,重新加载version和差异，禁止盲目覆盖,展示业务原因并保留安全输入,显示服务端重试时间,保留上下文和requestId，提供人工重试,FROZEN_V1.2.2
