模块,方法,路径,权限,用途,幂等,计划版本
Auth,POST,/api/v1/auth/security-challenges,公开,创建图形/行为安全挑战,是,R02
Auth,POST,/api/v1/auth/password/login,公开,手机号+密码+安全验证登录,是,R02
Auth,POST,/api/v1/auth/sms/send,公开+安全挑战,阿里云短信验证码：LOGIN/REGISTER/RESET_PASSWORD,是,R02
Auth,POST,/api/v1/auth/sms/login,公开,已注册手机号短信验证码登录,是,R02
Auth,POST,/api/v1/auth/invite-codes/validate,公开,校验邀请码和注册必填规则,否,R02
Auth,GET,/api/v1/auth/registration-config,公开,读取当前注册协议版本配置,否,R02
Auth,POST,/api/v1/auth/register,公开,密码注册、短信校验、邀请码绑定、随机用户名,是,R02
Auth,POST,/api/v1/auth/password/reset,公开,短信校验后重置密码,是,R02
Auth,POST,/api/v1/me/security/password/change,登录,修改登录密码,是,R02
Auth,POST,/api/v1/auth/refresh,RefreshToken,刷新Token,是,R02
Auth,POST,/api/v1/auth/logout,登录,退出当前会话,是,R02
Auth,GET,/api/v1/auth/sessions,登录,登录设备列表,否,R02
Auth,DELETE,/api/v1/auth/sessions/{id},登录,下线设备,是,R02
User,GET,/api/v1/me,登录,当前用户资料,否,R02/R07/R12
User,PATCH,/api/v1/me/profile,登录,修改头像昵称简介,是,R02/R07/R12
User,GET,/api/v1/publishers/{id},登录,发布者公开主页,否,R02/R07/R12
User,POST,/api/v1/me/cancellation,登录,申请注销,是,R02/R07/R12
Identity,GET,/api/v1/identity/consent,登录,获取当前实名认证授权说明,否,R05
Identity,GET,/api/v1/identity/overview,登录,获取当前实名认证总览,否,R05
Identity,POST,/api/v1/identity/sessions,登录,创建实名会话,是,R05
Identity,POST,/api/v1/identity/sessions/{id}/liveness-token,登录,获取活体H5,是,R05
Identity,GET,/api/v1/identity/sessions/{id},登录,查询实名状态,否,R05
Identity,POST,/api/v1/identity/sessions/{id}/retry,登录,重新认证,是,R05
Public,POST,/public-api/v1/identity/callback/consume,公开,消费一次性活体回跳,否,R05
Media,POST,/api/v1/media/upload-sessions,登录,创建上传会话,是,R04
Media,POST,/api/v1/media/upload-sessions/{id}/complete,登录,完成上传,是,R04
Media,DELETE,/api/v1/media/{id},登录,删除未绑定媒体,是,R04
Home,GET,/api/v1/home,登录,首页聚合,否,R06
Search,GET,/api/v1/search,登录,全局搜索,否,R07
Search,GET,/api/v1/search/hot,登录,热搜,否,R07
Search,GET,/api/v1/search/history,登录,搜索历史,否,R07
Search,DELETE,/api/v1/search/history,登录,清空历史,是,R07
Content,GET,/api/v1/contents,登录,统一内容列表,否,R06/R08/R09/R10/R11
Content,GET,/api/v1/contents/{id},登录,内容详情,否,R06/R08/R09/R10/R11
Content,POST,/api/v1/contents,登录+实名,创建内容/草稿,是,R08/R09/R10/R11/R12
Content,PATCH,/api/v1/contents/{id},登录+实名+所有者,编辑内容,是,R08/R09/R10/R11/R12
Content,POST,/api/v1/contents/{id}/submit,登录+实名+所有者,提交审核,是,R08/R09/R10/R11/R12
Content,POST,/api/v1/contents/{id}/online,登录+实名+所有者,上架,是,R08/R09/R10/R11/R12
Content,POST,/api/v1/contents/{id}/offline,登录+所有者,下架,是,R08/R09/R10/R11/R12
Content,POST,/api/v1/contents/{id}/copy,登录+实名+所有者,复制为草稿,是,R08/R09/R10/R11/R12
Content,DELETE,/api/v1/contents/{id},登录+所有者,删除内容,是,R08/R09/R10/R11/R12
Content,GET,/api/v1/me/contents,登录,我的发布,否,R12
Content,GET,/api/v1/me/drafts,登录,草稿列表,否,R12
Content,GET,/api/v1/contents/{id}/reviews,登录+所有者,审核记录,否,R12
Content,GET,/api/v1/contents/{id}/analytics,登录+所有者,内容数据,否,R12/R23
Content,POST,/api/v1/contents/{id}/favorite,登录,收藏,是,R13
Content,DELETE,/api/v1/contents/{id}/favorite,登录,取消收藏,是,R13
Content,GET,/api/v1/me/favorites,登录,收藏列表,否,R13
Content,GET,/api/v1/me/history,登录,浏览历史,否,R13
Content,POST,/api/v1/contents/{id}/contacts/{channel}/access,登录,获取/复制联系方式,是,R07/R13
Content,POST,/api/v1/contents/{id}/report,登录,举报内容,是,R15
Content,POST,/api/v1/contents/{id}/invalid-feedback,登录,二维码/链接失效反馈,是,R10/R15
Content,POST,/api/v1/contents/{id}/share,登录,记录分享并返回分享地址,是,R13
Chat,GET,/api/v1/conversations,登录,会话列表,否,R14
Chat,POST,/api/v1/conversations/direct,登录,创建/获取私聊会话,是,R14
Chat,GET,/api/v1/conversations/{id}/messages,登录+成员,消息分页,否,R14
Chat,POST,/api/v1/conversations/{id}/messages,登录+成员,发送消息,是,R14
Chat,POST,/api/v1/conversations/{id}/read,登录+成员,更新已读,是,R14
Chat,DELETE,/api/v1/conversations/{id},登录+成员,删除会话视图,是,R14
