版本,门禁ID,类别,门禁条件,适用性,证据,当前结论,说明,阻断规则,成熟度
P00,P00-DOR-01,范围与需求,本版本需求、非目标、业务规则和变更边界已冻结；每个需求在追踪矩阵有明确行,是,catalogs/requirements_catalog.csv;catalogs/TRACEABILITY_MATRIX.csv,PASS,需求14条，页面/交互面0个，接口0个，故事1个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-02,页面与模板,本版本所有页面/弹层已绑定标准模板，入口、退出、角色、数据分级和主要区域无TBD,不适用,catalogs/ui_page_specifications.csv;catalogs/ui_templates.csv,PASS,本版本为纯工程地基；页面项显式N/A,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-03,字段施工规格,每个页面展示、输入、筛选、路由、敏感字段均有类型、控件、必填、校验、显示/编辑条件和错误文案,不适用,catalogs/ui_page_fields.csv,PASS,本版本为纯工程地基；页面项显式N/A,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-04,状态与恢复,首屏、内容、空、刷新、局部失败、无权限、404、离线、提交、成功、冲突和领域状态已定义,不适用,catalogs/ui_page_states.csv,PASS,本版本为纯工程地基；页面项显式N/A,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-05,动作与导航,每个操作定义触发、显示/可用、确认、请求映射、幂等/版本、加载、成功、错误、重试、导航和审计,不适用,catalogs/ui_action_matrix.csv;catalogs/ui_navigation_specifications.csv,PASS,本版本为纯工程地基；页面项显式N/A,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-06,接口所有权,本版本每个OpenAPI operationId均有页面动作或显式系统所有者；核心请求响应禁止自由对象代替领域Schema,是,catalogs/api_ui_ownership.csv;contracts/openapi.yaml;contracts/admin-openapi.yaml,PASS,需求14条，页面/交互面0个，接口0个，故事1个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-07,数据与状态机,涉及表、约束、状态机、历史、幂等和账务不变量已登记；新增运营能力有明确数据事实源,是,catalogs/data_tables.csv;database/schema_dictionary.csv;database/state_machines.yaml,PASS,需求14条，页面/交互面0个，接口0个，故事1个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-08,配置与权限,相关配置具有控件、单位、范围、依赖、跨字段规则、编辑角色、复核角色、生效预览和回滚；权限与数据分级明确,是,catalogs/config_registry.csv;catalogs/config_cross_field_rules.csv;catalogs/config_role_matrix.csv,PASS,需求14条，页面/交互面0个，接口0个，故事1个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-09,后台运营规格,涉及后台页面时，筛选、表格列、排序、批量/行操作、Tab、导出、脱敏、审批、确认和审计已冻结,不适用,catalogs/admin_page_operation_specs.csv,PASS,本版本无后台页面；仍需确认无后台操作遗漏,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
P00,P00-DOR-10,测试与验收,主路径、拒绝、幂等、并发、故障、安全和防漂移测试ID已存在并绑定到页面/动作/需求,是,catalogs/test_cases.csv,PASS,需求14条，页面/交互面0个，接口0个，故事1个,适用项非PASS时不得进入该版本编码；不适用必须有说明,FROZEN_DOR_V1.2.2
