Screen_ID,页面,路由,主参考批次,参考面板,绑定方式,开发说明
SCR-APP-001,启动页,/splash,B01,P01/P08,STYLE_LAYOUT_REFERENCE,启动与更新布局
SCR-APP-002,系统维护页,/maintenance,B01,P01/P08,STYLE_LAYOUT_REFERENCE,启动与更新布局
SCR-APP-003,更新提示,/update,B01,P01/P08,STYLE_LAYOUT_REFERENCE,启动与更新布局
SCR-AUTH-001,密码登录,/login,B01,P02-P07,STYLE_LAYOUT_REFERENCE,认证布局参考；默认密码登录覆盖图片短信默认逻辑
SCR-AUTH-002,短信验证码登录,/login/sms,B01,P02-P07,STYLE_LAYOUT_REFERENCE,认证布局参考；默认密码登录覆盖图片短信默认逻辑
SCR-AUTH-003,注册账号,/register,B01,P02-P07,STYLE_LAYOUT_REFERENCE,认证布局参考；默认密码登录覆盖图片短信默认逻辑
SCR-AUTH-004,忘记密码,/password/reset,B01,P02-P07,STYLE_LAYOUT_REFERENCE,认证布局参考；默认密码登录覆盖图片短信默认逻辑
SCR-AUTH-005,账号冻结,/account-blocked,B01,P02-P07,STYLE_LAYOUT_REFERENCE,认证布局参考；默认密码登录覆盖图片短信默认逻辑
SCR-AUTH-006,登录设备,/me/security/devices,B01,P02-P07,STYLE_LAYOUT_REFERENCE,认证布局参考；默认密码登录覆盖图片短信默认逻辑
SCR-AUTH-007,修改登录密码,/me/security/password,B12,P03,STYLE_LAYOUT_REFERENCE,账号密码表单布局；功能按认证规格
SCR-AUTH-008,注销账号,/me/security/cancel,B01,P02-P07,STYLE_LAYOUT_REFERENCE,认证布局参考；默认密码登录覆盖图片短信默认逻辑
SCR-HOME-001,首页,/home,B02,P01-P08,STYLE_LAYOUT_REFERENCE,首页、搜索与内容卡片
SCR-SEARCH-001,全局搜索,/search,B02,P01-P08,STYLE_LAYOUT_REFERENCE,首页、搜索与内容卡片
SCR-SEARCH-002,搜索结果,/search/result,B02,P01-P08,STYLE_LAYOUT_REFERENCE,首页、搜索与内容卡片
SCR-LIST-001,项目列表,/content/projects,B02,P01-P08,STYLE_LAYOUT_REFERENCE,首页、搜索与内容卡片
SCR-LIST-002,App列表,/content/apps,B02,P01-P08,STYLE_LAYOUT_REFERENCE,首页、搜索与内容卡片
SCR-LIST-003,群聊列表,/content/groups,B02,P01-P08,STYLE_LAYOUT_REFERENCE,首页、搜索与内容卡片
SCR-LIST-004,团队长列表,/content/team-leaders,B02,P01-P08,STYLE_LAYOUT_REFERENCE,首页、搜索与内容卡片
SCR-DETAIL-001,项目详情,/content/project/{id},B03,P01-P07,STYLE_LAYOUT_REFERENCE,详情与发布者信息
SCR-DETAIL-002,App详情,/content/app/{id},B03,P01-P07,STYLE_LAYOUT_REFERENCE,详情与发布者信息
SCR-DETAIL-003,群聊详情,/content/group/{id},B03,P01-P07,STYLE_LAYOUT_REFERENCE,详情与发布者信息
SCR-DETAIL-004,团队长详情,/content/team-leader/{id},B03,P01-P07,STYLE_LAYOUT_REFERENCE,详情与发布者信息
SCR-PUBLISHER-001,发布者主页,/publisher/{userId},B03,P01-P07,STYLE_LAYOUT_REFERENCE,详情与发布者信息
SHEET-CONTACT-001,联系方式面板,sheet://contact,B03,P01-P07,STYLE_LAYOUT_REFERENCE,详情与发布者信息
SHEET-REPORT-001,举报面板,sheet://report,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
SHEET-SHARE-001,分享面板,sheet://share,TOKENS_ONLY,-,STYLE_LAYOUT_REFERENCE,无精确面板；使用Design Token和组件库
