能力ID,能力主题,版本,必须完成,完成条件,APK要求,状态,备注,文档DoR,故事数,页面规格数,文档版本,文档说明
CAP-P00,仓库、环境、契约与无状态接续,P00,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,1,0,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R01,Design System与契约工程化,R01,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,3,3,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R02,账号、登录、注册与安全会话,R02,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,9,14,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R03,供应商配置、密钥、证书与域名中心,R03,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,NO,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,7,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R04,媒体与多对象存储,R04,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,2,1,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R05,单一实名认证,R05,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,8,7,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R06,统一内容基础、首页与CMS,R06,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,5,5,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R07,搜索、发布者主页与联系方式保护,R07,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,5,5,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R08,项目推广完整闭环,R08,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,3,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
CAP-R09,App推广完整闭环,R09,是,范围内前端、后端、后台、数据库、配置、契约、测试、文档、部署与记录全部通过；Android=YES时必须有可下载APK,YES,PLANNED,迭代数量可按CR调整；本矩阵全部DONE且R32通过才算完整系统,PASS,4,3,1.2.2,开发输入已冻结；状态PLANNED仍表示软件功能尚待按故事实现
