页面ID,平台,路由,允许入口,成功出口,取消/返回,未登录处理,无权限处理,资源不存在处理,深链规则,返回栈规则,成熟度
SCR-APP-001,ANDROID,/splash,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-APP-002,ANDROID,/maintenance,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-APP-003,ANDROID,/update,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-AUTH-001,ANDROID,/login,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-AUTH-002,ANDROID,/login/sms,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-AUTH-003,ANDROID,/register,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-AUTH-004,ANDROID,/password/reset,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-AUTH-005,ANDROID,/account-blocked,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-AUTH-006,ANDROID,/me/security/devices,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-AUTH-007,ANDROID,/me/security/password,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-AUTH-008,ANDROID,/me/security/cancel,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-HOME-001,ANDROID,/home,登录后由底部导航、业务通知或深链进入,按动作成功后导航列执行；未指定时留在当前页并刷新,切换底部导航；返回键按应用根导航策略处理,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-SEARCH-001,ANDROID,/search,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
SCR-SEARCH-002,ANDROID,/search/result,从上级页面、导航入口、通知或业务流程进入,按动作成功后导航列执行；未指定时留在当前页并刷新,按导航栈返回；成功流程按动作规格进入结果或详情,保存原目标并进入登录；公开H5除外,展示无权限，不泄露资源存在性；返回安全上级,展示明确空/失效状态并从来源列表移除无效入口,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,单一来源栈；回跳页清理敏感参数；弹层关闭恢复焦点,FROZEN_V1.2.2
