需求ID,领域,标题,描述,优先级,计划版本
REQ-AUTH-001,账号,强制登录,未登录用户不能进入App主界面，公开页面仅限H5,P0,R02
REQ-AUTH-002,账号,默认密码登录,手机号+密码为默认登录方式，每次提交前通过安全验证,P0,R02
REQ-AUTH-003,账号,阿里云短信登录,发送前安全验证，未注册手机号不得自动注册,P0,R02
REQ-AUTH-004,账号,独立注册,手机号、密码、确认密码、邀请码；安全验证+短信校验；随机用户名,P0,R02
REQ-AUTH-005,账号,H5邀请注册,H5邀请注册仅属于账号注册闭环；邀请码必填，完成安全挑战、短信校验、协议留证和注册归因后跳转下载页,P0,R02
REQ-UI-001,UI,效果图仅作样式参考,功能以开发文档为准，精确数值以Design Token为准，禁止从图扩张功能,P0,P00/R01
REQ-ID-001,实名,单一实名认证,姓名身份证+H5活体+人证比对+私有照片,P0,R05
REQ-CONTENT-001,内容,四类统一内容模型,项目/App/群聊/团队长共用主表与扩展表,P0,R06
REQ-CONTENT-002,内容,内容无自动过期,用户上下架，平台强制下架,P0,R12
REQ-TEAM-001,团队长,一账号一份资料,可反复编辑和审核,P0,R11
REQ-CONTACT-001,联系,详情页获取联系方式,发布者主页默认不公开联系方式,P0,R07/R08/R09/R10/R11
REQ-CHAT-001,聊天,一对一即时通讯,文本、图片、联系方式和内容卡片,P1,R14
REQ-MEMBER-001,会员,统一Pro会员,月季年SKU与公开标识,P1,R18
REQ-MEMBER-002,会员,补差升级,按实际支付剩余价值升级,P1,R18
REQ-PROP-001,道具,四种道具,刷新、置顶、头条、变色及叠加,P1,R19
REQ-RP-001,红包,一内容一活动,无期限、可暂停、下架后继续,P1,R20
REQ-RP-002,红包,提高剩余红包金额,差额付款、金额版本、不追溯,P1,R21
REQ-RP-003,红包,详情有效浏览领取,默认20秒、服务端心跳、锁定名额,P1,R22
REQ-PAY-001,支付,H5统一收银台,彩虹易支付适配、第三方App唤醒,P0,R17/R30
REQ-NOREFUND-001,订单,虚拟服务不退款,支付前确认，异常账务单独纠错,P0,R16
REQ-REWARD-001,奖励,统一奖励账户,来源分账、待结算、可提现、冻结,P1,R24
REQ-WD-001,提现,支付宝企业付款,PayoutGateway、手续费矩阵,P1,R24/R32
REQ-REF-001,推广,一级二级消费佣金,按SKU实际服务金额分佣,P2,R25
REQ-REF-ACT-001,推广,直推活跃阶梯奖励,每名直推独立进度，邀请人无积分,P2,R26
REQ-TASK-001,任务,用户个人任务积分,与直推活跃完全分离,P2,R27
REQ-H5-001,H5,科技感宣传下载页,品牌宣传、功能展示、APK下载,P0,R28
REQ-CONT-001,工程,无状态接续,仓库文档、状态、任务、问题、会话和冷启动测试,P0,P00
REQ-DESIGN-001,UI,统一Design System,Android、H5、后台使用同一品牌体系和各端派生Token，禁止页面自行定义字号、圆角、颜色、阴影和动画,P0,R01
REQ-MEDIA-001,媒体,媒体上传与私有访问,图片上传、校验、压缩、SHA256、公开/私有访问、临时授权、失败重试和访问审计,P0,R04
REQ-ID-002,实名,敏感资料访问审计,实名原图仅授权角色可查看，预览水印，查看下载导出均记录原因和审计,P0,R05
REQ-HOME-001,首页,首页CMS与统一卡片,首页模块可配置，四类内容使用统一卡片骨架并支持头条、置顶、红包和Pro标识,P0,R06
REQ-SEARCH-001,搜索,统一搜索与必要筛选,按关键词、内容类型和少量结构属性搜索，不建立复杂分类目录树,P0,R07
REQ-PUBLISHER-001,发布者,发布者主页与联系方式保护,发布者主页展示公开资料和内容，不直接展示联系方式；联系方式只能从具体详情获取,P0,R07/R13
REQ-PROJECT-001,项目,项目推广完整闭环,项目发布、编辑、审核、列表、详情、上下架、版本、联系和数据统计完整对应,P0,R08
REQ-APP-PROMO-001,App推广,App推广完整闭环,App名称、Logo、介绍、截图、外部下载链接和官网；禁止上传第三方APK,P0,R09
REQ-GROUP-001,群聊,群聊推广完整闭环,支持微信、QQ及其他平台的二维码、链接、群号、口令、失效反馈和群主联系,P0,R10
REQ-PUBLISH-001,发布,统一发布与额度管理,四类发布、草稿、自动保存、预览、审核、上下架、复制发布和会员额度完整实现,P0,R12
REQ-ACTIVITY-001,用户行为,收藏历史分享与获取联系审计,收藏、浏览历史、分享预览、联系方式查看复制和外链点击均可追踪,P0,R13
REQ-CHAT-002,聊天,消息可靠性与防骚扰,WebSocket断线重连、顺序、ACK、幂等、未读、限频、拉黑、举报和证据保全,P1,R14/R15
REQ-NOTIFY-001,通知,通知公告与业务跳转,系统通知、审核、红包、支付、会员、道具、推广、提现和公告统一管理并可安全跳转,P1,R15
REQ-SUPPORT-001,客服,客服工单与纠纷处理,内容、实名、红包、支付、提现和聊天纠纷支持工单、证据、SLA、处理记录和结果通知,P1,R15
REQ-PRODUCT-001,商品,商品SKU与权益快照,会员、道具、红包服务等虚拟商品统一SKU管理并保存价格、权益和规则快照,P0,R16
REQ-ORDER-001,订单,统一报价订单与不退款确认,所有付费业务由服务端报价和统一订单承载，支付前确认不退款规则并保存版本证据,P0,R16
REQ-PAY-002,支付,支付适配与服务端入账,支付网关抽象、H5安全收银台、回调验签、主动查单、幂等和异常账务；客户端不得自行入账,P0,R17
