key,group,type,default,secret,required,editable_by,approval,snapshot_on_business,runtime_reload,description,enum,lifecycle,required_in,reload_strategy,restart_required,secret_ref_policy,validator,owner,change_risk,rollback_supported,schema_version,display_name,ui_group,control_type,unit,min_value,max_value,step,pattern,option_source,help_text,risk_prompt,visible_when,enabled_when,dependency_keys,cross_field_rule_ids,approver_role,impact_scope,preview_strategy,rollback_strategy,audit_event,ui_order,ui_schema_version,maturity
platform.brand.name,platform,string,合伙云 Pro,False,False,"['operations_admin', 'platform_engineer']",NONE,False,True,平台品牌名,,VERSIONED_BUSINESS_CONFIGURATION,DEFAULT_OR_ACTIVE_VERSION,ATOMIC_HOT_RELOAD,False,NOT_SECRET,type+range+cross_field+business_invariant,platform_owner,MEDIUM,True,1,平台品牌名,平台品牌,TEXT_INPUT,,,,,,none,平台品牌名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,修改后按生效策略刷新；页面展示影响范围和可回滚版本。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,,operations_admin,平台品牌领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.platform.changed,1,1.2.2,FROZEN_OPERATIONAL_V1.2.2
platform.brand.slogan,platform,string,合作共赢 · 云创未来,False,False,"['operations_admin', 'platform_engineer']",NONE,False,True,品牌口号,,VERSIONED_BUSINESS_CONFIGURATION,DEFAULT_OR_ACTIVE_VERSION,ATOMIC_HOT_RELOAD,False,NOT_SECRET,type+range+cross_field+business_invariant,platform_owner,MEDIUM,True,1,品牌口号,平台品牌,TEXTAREA,,,,,,none,品牌口号。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,修改后按生效策略刷新；页面展示影响范围和可回滚版本。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,,operations_admin,平台品牌领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.platform.changed,2,1.2.2,FROZEN_OPERATIONAL_V1.2.2
platform.base_domain,domain,string,orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,根域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,根域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,根域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,1,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.www.host,domain,string,www.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,www服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,www服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,www服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,2,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.api.host,domain,string,api.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,api服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,api服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,api服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,3,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.ws.host,domain,string,ws.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,ws服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,ws服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,ws服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,4,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.admin.host,domain,string,admin.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,admin服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,admin服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,admin服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,5,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.h5.host,domain,string,h5.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,h5服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,h5服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,h5服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,6,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.download.host,domain,string,download.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,download服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,download服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,download服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,7,1.2.2,FROZEN_OPERATIONAL_V1.2.2
domain.assets.host,domain,string,assets.orbexa.cc,False,False,"['platform_engineer', 'release_manager']",TWO_PERSON,False,False,assets服务域名,,STARTUP_CONFIGURATION,"STAGING,PRODUCTION",RESTART_REQUIRED,True,NOT_SECRET,type+range+cross_field,domain_owner,HIGH,True,1,assets服务域名,域名与环境,DOMAIN_INPUT,,,,,"^(?=.{1,253}$)([a-z0-9](?:[a-z0-9-]{0,61}[a-z0-9])?\.)+[a-z]{2,63}$",none,assets服务域名。值来源、环境、生效和回滚必须遵守配置生命周期；禁止在业务代码中另设默认值。,该配置可能影响资金、安全、域名或生产流量；保存只生成草稿，审批和影响预览通过后方可激活。,当前环境和配置依赖满足；秘密字段仅显示“已配置/未配置”,具备编辑角色，当前无激活任务；涉及生产/资金/安全时会话已升级,,CFG-RULE-009;CFG-RULE-010,security_admin,域名与环境领域；具体受影响页面、接口和任务由需求追踪矩阵反向查询,保存前显示旧值/新值、依赖校验、跨字段规则、受影响环境和业务快照差异,激活后保留不可变版本；通过审批回滚到最近已验证版本，不直接修改历史版本,config.domain.changed,8,1.2.2,FROZEN_OPERATIONAL_V1.2.2
