字段ID,页面ID,平台,页面,区域,字段键,显示名称,字段角色,语义类型,控件类型,数据来源,必填条件,显示条件,可编辑条件,校验规则,默认值,选项来源,敏感级别,脱敏规则,帮助说明,错误提示,排序,关联operationId,成熟度
FLD-00001,SCR-APP-001,ANDROID,启动页,页面头部,pageTitle,页面标题,UI_META,ui,TEXT,LOCAL_UI,必需,按页面状态显示,本地UI字段不可写入业务事实,按页面模板,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,,页面标题不符合页面规格,1,,FROZEN_V1.2.2
FLD-00002,SCR-APP-001,ANDROID,启动页,路由与筛选,page,页码,FILTER,integer,NUMBER_INPUT,publicGetPlatformStatus.query,可选；仅在对应操作/筛选时提交,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”时显示,用户具备权限且页面状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码格式或范围不正确,2,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00003,SCR-APP-001,ANDROID,启动页,路由与筛选,pageSize,每页数量,FILTER,integer,NUMBER_INPUT,publicGetPlatformStatus.query,可选；仅在对应操作/筛选时提交,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”时显示,用户具备权限且页面状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量格式或范围不正确,3,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00004,SCR-APP-001,ANDROID,启动页,路由与筛选,cursor,游标,FILTER,string,FILTER_INPUT,publicGetPlatformStatus.query,可选；仅在对应操作/筛选时提交,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”时显示,用户具备权限且页面状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标格式或范围不正确,4,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00005,SCR-APP-001,ANDROID,启动页,路由与筛选,status,状态,FILTER,string,FILTER_INPUT,publicGetPlatformStatus.query,可选；仅在对应操作/筛选时提交,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,状态筛选,状态格式或范围不正确,5,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00006,SCR-APP-001,ANDROID,启动页,路由与筛选,keyword,关键词,FILTER,string,FILTER_INPUT,publicGetPlatformStatus.query,可选；仅在对应操作/筛选时提交,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”时显示,用户具备权限且页面状态允许,最多100字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,关键词筛选,关键词格式或范围不正确,6,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00007,SCR-APP-001,ANDROID,启动页,路由与筛选,sort,排序,FILTER,string,FILTER_INPUT,publicGetPlatformStatus.query,可选；仅在对应操作/筛选时提交,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”时显示,用户具备权限且页面状态允许,最多64字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,白名单排序字段，例如 createdAt:desc,排序格式或范围不正确,7,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00008,SCR-APP-001,ANDROID,启动页,表单输入,page,页码,INPUT,integer,NUMBER_INPUT,publicGetPlatformStatus.request,可选；按业务条件或页面状态决定,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”且字段适用时显示,具备 公开 且资源状态允许,≥1,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,页码；游标接口可忽略,页码不符合要求,8,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00009,SCR-APP-001,ANDROID,启动页,表单输入,pageSize,每页数量,INPUT,integer,NUMBER_INPUT,publicGetPlatformStatus.request,可选；按业务条件或页面状态决定,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”且字段适用时显示,具备 公开 且资源状态允许,≥1；≤100,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,每页数量,每页数量不符合要求,9,publicGetPlatformStatus,FROZEN_V1.2.2
FLD-00010,SCR-APP-001,ANDROID,启动页,表单输入,cursor,游标,INPUT,string,TEXT_INPUT,publicGetPlatformStatus.request,可选；按业务条件或页面状态决定,执行“启动维护状态、注册/发布/红包/提现总开关和服务端时间”且字段适用时显示,具备 公开 且资源状态允许,最多256字符,由服务端/配置/上下文提供；禁止客户端暗设业务默认,OpenAPI枚举或配置注册表；不得在页面散落硬编码,NORMAL,无需特殊掩码；仍遵守最小展示,游标；与page二选一,游标不符合要求,10,publicGetPlatformStatus,FROZEN_V1.2.2
