页面ID,平台,模块,页面名称,路由,页面形态,模板ID,业务目标,主要角色,访问规则,数据分级,入口路径,退出与返回,页面区域,字段规格,状态规格,动作规格,导航规则,刷新策略,分页策略,离线策略,关联需求,关联API,operationId,配置组,关键配置项,测试ID,UI参考,计划版本,DoR状态,成熟度
SCR-APP-001,ANDROID,启动,启动页,/splash,PAGE,MOB-GATE,品牌展示、版本/维护/Token并行检查,已登录用户；公开能力仅限文档明确的H5页面,否,NORMAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌区|状态说明|主操作|次操作|诊断信息,catalogs/ui_page_fields.csv#SCR-APP-001,catalogs/ui_page_states.csv#SCR-APP-001,catalogs/ui_action_matrix.csv#SCR-APP-001,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001;REQ-PAGE-SPEC-001,GET /public-api/v1/platform/status;POST /public-api/v1/app/version-check;POST /api/v1/auth/refresh;GET /api/v1/app/version-check,publicGetPlatformStatus;appReleasePostAppVersionCheck;authPostAuthRefresh;appReleaseGetAppVersionCheck,platform;app_build;auth,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact;app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope;auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-APP_RELEASE_001-IDEMPOTENT;TST-APK_001-IDEMPOTENT;TST-V122-011,B01/P01/P08,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-APP-002,ANDROID,启动,系统维护页,/maintenance,PAGE,MOB-GATE,维护说明、预计恢复、重试,已登录用户；公开能力仅限文档明确的H5页面,否,NORMAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌区|状态说明|主操作|次操作|诊断信息,catalogs/ui_page_fields.csv#SCR-APP-002,catalogs/ui_page_states.csv#SCR-APP-002,catalogs/ui_action_matrix.csv#SCR-APP-002,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,GET /public-api/v1/platform/status,publicGetPlatformStatus,platform,platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,B01/P01/P08,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-APP-003,ANDROID,启动,更新提示,/update,PAGE,MOB-GATE,可选/推荐/强制更新,已登录用户；公开能力仅限文档明确的H5页面,否,NORMAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌区|状态说明|主操作|次操作|诊断信息,catalogs/ui_page_fields.csv#SCR-APP-003,catalogs/ui_page_states.csv#SCR-APP-003,catalogs/ui_action_matrix.csv#SCR-APP-003,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-APP-RELEASE-001;REQ-APK-001,POST /public-api/v1/app/version-check;GET /public-api/v1/app/latest,appReleasePostAppVersionCheck;publicGetAppLatest,app_build;platform,app.android.application_id;app.android.staging_application_id;app.android.display_name;app.android.signing.staging_profile;app.android.signing.production_profile;app.build.runner;app.build.allowed_ref_patterns;app.build.artifact_storage_scope;platform.brand.name;platform.brand.slogan;platform.brand.logo_media_id;platform.customer_service.name;platform.customer_service.contact,TST-AUTH_001-HAPPY;TST-APP_RELEASE_001-HAPPY;TST-APK_001-HAPPY,B01/P01/P08,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-AUTH-001,ANDROID,账号,密码登录,/login,PAGE,MOB-AUTH-FORM,默认手机号+密码、安全验证、协议,已登录用户；公开能力仅限文档明确的H5页面,否,CRITICAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌/标题|表单|安全挑战|协议|主操作|辅助入口,catalogs/ui_page_fields.csv#SCR-AUTH-001,catalogs/ui_page_states.csv#SCR-AUTH-001,catalogs/ui_action_matrix.csv#SCR-AUTH-001,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/auth/security-challenges;POST /api/v1/auth/password/login,authPostAuthSecurityChallenges;authPostAuthPasswordLogin,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-AUTH-002,ANDROID,账号,短信验证码登录,/login/sms,PAGE,MOB-AUTH-FORM,安全验证后发送阿里云短信验证码,已登录用户；公开能力仅限文档明确的H5页面,否,NORMAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌/标题|表单|安全挑战|协议|主操作|辅助入口,catalogs/ui_page_fields.csv#SCR-AUTH-002,catalogs/ui_page_states.csv#SCR-AUTH-002,catalogs/ui_action_matrix.csv#SCR-AUTH-002,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/auth/security-challenges;POST /api/v1/auth/sms/send;POST /api/v1/auth/sms/login,authPostAuthSecurityChallenges;authPostAuthSmsSend;authPostAuthSmsLogin,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-AUTH-003,ANDROID,账号,注册账号,/register,PAGE,MOB-AUTH-FORM,手机号、密码、确认密码、邀请码、安全验证、短信校验,已登录用户；公开能力仅限文档明确的H5页面,否,NORMAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌/标题|表单|安全挑战|协议|主操作|辅助入口,catalogs/ui_page_fields.csv#SCR-AUTH-003,catalogs/ui_page_states.csv#SCR-AUTH-003,catalogs/ui_action_matrix.csv#SCR-AUTH-003,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004;REQ-AUTH-005,POST /api/v1/auth/security-challenges;POST /api/v1/auth/sms/send;POST /api/v1/auth/invite-codes/validate;POST /api/v1/auth/register,authPostAuthSecurityChallenges;authPostAuthSmsSend;authPostAuthInviteCodesValidate;authPostAuthRegister,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_005-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT;TST-AUTH_005-IDEMPOTENT,B01/P02-P07,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-AUTH-004,ANDROID,账号,忘记密码,/password/reset,PAGE,MOB-AUTH-FORM,安全验证、短信验证码和新密码,已登录用户；公开能力仅限文档明确的H5页面,否,CRITICAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌/标题|表单|安全挑战|协议|主操作|辅助入口,catalogs/ui_page_fields.csv#SCR-AUTH-004,catalogs/ui_page_states.csv#SCR-AUTH-004,catalogs/ui_action_matrix.csv#SCR-AUTH-004,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/auth/security-challenges;POST /api/v1/auth/sms/send;POST /api/v1/auth/password/reset,authPostAuthSecurityChallenges;authPostAuthSmsSend;authPostAuthPasswordReset,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-AUTH-005,ANDROID,账号,账号冻结,/account-blocked,PAGE,MOB-GATE,原因、期限、申诉,已登录用户；公开能力仅限文档明确的H5页面,是,NORMAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌区|状态说明|主操作|次操作|诊断信息,catalogs/ui_page_fields.csv#SCR-AUTH-005,catalogs/ui_page_states.csv#SCR-AUTH-005,catalogs/ui_action_matrix.csv#SCR-AUTH-005,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,GET /api/v1/me;POST /api/v1/support/tickets,userGetMe;supportPostSupportTickets,auth;system,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required;system.maintenance.enabled;system.maintenance.message;system.registration.enabled;system.publish.enabled;system.red_packet.enabled;system.withdrawal.enabled,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-AUTH-006,ANDROID,账号,登录设备,/me/security/devices,PAGE,MOB-AUTH-FORM,设备列表与下线,已登录用户；公开能力仅限文档明确的H5页面,是,HIGH,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌/标题|表单|安全挑战|协议|主操作|辅助入口,catalogs/ui_page_fields.csv#SCR-AUTH-006,catalogs/ui_page_states.csv#SCR-AUTH-006,catalogs/ui_action_matrix.csv#SCR-AUTH-006,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,GET /api/v1/auth/sessions;DELETE /api/v1/auth/sessions/{id},authGetAuthSessions;authDeleteAuthSessionsById,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B01/P02-P07,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
SCR-AUTH-007,ANDROID,账号,修改登录密码,/me/security/password,PAGE,MOB-AUTH-FORM,原密码、新密码、高风险安全验证,已登录用户；公开能力仅限文档明确的H5页面,是,CRITICAL,从上级页面、导航入口、通知或业务流程进入,按导航栈返回；成功流程按动作规格进入结果或详情,品牌/标题|表单|安全挑战|协议|主操作|辅助入口,catalogs/ui_page_fields.csv#SCR-AUTH-007,catalogs/ui_page_states.csv#SCR-AUTH-007,catalogs/ui_action_matrix.csv#SCR-AUTH-007,仅允许已登记App Link/内部路由；登录前保存原目标；路由参数校验失败返回模块首页,初始化按需加载；写操作后仅刷新受影响数据；禁止无差别全局缓存清空,不适用；若子区块为列表，遵循所属平台标准分页模板,不支持离线写入；网络不可用时保留安全可保留输入并提供重试,REQ-AUTH-001;REQ-AUTH-002;REQ-AUTH-003;REQ-AUTH-004,POST /api/v1/me/security/password/change,authPostMeSecurityPasswordChange,auth,auth.default_login_method;auth.security_challenge.provider;auth.security_challenge.mode;auth.password.min_length;auth.password.max_length;auth.password.max_failures;auth.password.lock_seconds;auth.invite.app_required,TST-AUTH_001-HAPPY;TST-AUTH_002-HAPPY;TST-AUTH_003-HAPPY;TST-AUTH_004-HAPPY;TST-AUTH_001-IDEMPOTENT;TST-AUTH_002-IDEMPOTENT;TST-AUTH_003-IDEMPOTENT;TST-AUTH_004-IDEMPOTENT,B12/P03,R02,READY,FROZEN_CONSTRUCTION_V1.2.2
