模板ID,平台范围,模板名称,适用页面,页面结构,必备区域,默认状态,交互规则,无障碍,响应式,证据要求,成熟度
MOB-GATE,ANDROID,启动与全局门禁,启动、维护、更新、账号受限,品牌区|状态说明|主操作|次操作|诊断信息,安全区、主状态、恢复入口、版本/requestId,INITIAL;CHECKING;CONTENT;BLOCKED;RETRYABLE_ERROR,并行检查结果必须按优先级合并；强制更新和维护高于登录导航,状态变化需读屏播报；主操作触控区≥48dp,适配小屏和横屏，主操作保持可见,状态优先级单测、错误态截图、导航测试,FROZEN_V1.2.2
MOB-AUTH-FORM,"ANDROID,H5,ADMIN",认证与安全表单,登录、注册、找回密码、MFA、修改密码,品牌/标题|表单|安全挑战|协议|主操作|辅助入口,字段错误、倒计时、锁定提示、隐私说明,INITIAL;EDITING;VALIDATING;SUBMITTING;RATE_LIMITED;LOCKED;SUCCESS;ERROR,敏感字段禁止持久化；提交前完成本地校验与安全挑战,字段标签和错误关联；验证码倒计时可读,键盘弹出时主操作可达,字段校验表、敏感数据检查、限流与重放测试,FROZEN_V1.2.2
MOB-HOME,ANDROID,聚合首页,首页、我的首页、消息中心、推广中心,顶栏|状态/资产摘要|模块化内容区|底部导航,骨架、空模块降级、模块追踪上下文,LOADING;CONTENT;PARTIAL_CONTENT;REFRESHING;ERROR,模块独立失败不得拖垮整页；顺序由服务端模块合同控制,模块标题语义化；轮播可暂停,卡片宽度按Token缩放,模块容错、埋点上下文、CMS兼容测试,FROZEN_V1.2.2
MOB-SEARCH,ANDROID,搜索与筛选,全局搜索、搜索结果,搜索框|历史/热词|筛选条|结果列表|空状态,清空确认、联想词、结果计数、筛选回显,IDLE;SUGGESTING;SEARCHING;CONTENT;EMPTY;ERROR,输入防抖；新查询取消旧请求；清空历史不可撤销需确认,结果数量播报；筛选标签可聚焦,筛选支持横向滚动或抽屉,防抖、取消、空状态、清空历史测试,FROZEN_V1.2.2
MOB-LIST,ANDROID,标准业务列表,内容、订单、记录、任务、工单、收藏、历史列表,标题/统计|筛选/排序|列表|分页/加载|空状态,筛选回显、刷新、翻页错误、列表项状态标签,LOADING;CONTENT;EMPTY;REFRESHING;APPENDING;PARTIAL_ERROR;ERROR,翻页去重；状态变化后局部更新；删除后保持滚动位置,列表项可整体聚焦且按钮有独立标签,卡片密度按屏宽调整,分页去重、筛选、状态更新、错误恢复测试,FROZEN_V1.2.2
MOB-DETAIL,"ANDROID,H5",标准业务详情,内容、订单、通知、公告、工单、活动、文章详情,媒体/标题|主体信息|状态与统计|分区详情|固定操作区,资源状态、发布者/归属、操作按钮条件、时间线,LOADING;CONTENT;STALE_CACHE;NOT_FOUND;FORBIDDEN;ERROR,服务端 version 驱动按钮；高风险操作二次确认；缓存仅只读,标题层级、图片替代文本、固定按钮不遮挡,长内容支持锚点和折叠,按钮状态矩阵、404/下架、版本冲突测试,FROZEN_V1.2.2
MOB-FORM,"ANDROID,H5",标准创建/编辑表单,发布、资料、活动、工单、提现绑定,步骤/标题|字段分组|媒体上传|预览|底部保存/提交,草稿状态、字段错误、离开提示、上传状态,EDITING;DIRTY;AUTOSAVING;VALIDATING;SUBMITTING;SUCCESS;ERROR;CONFLICT,草稿与提交分离；版本冲突不覆盖服务端；关键字段变更显示影响,字段分组和错误摘要；必填标识非仅颜色,长表单底部操作固定但不遮挡,字段校验、草稿恢复、上传失败、冲突合并测试,FROZEN_V1.2.2
MOB-CHAT-LIST,ANDROID,会话列表,会话列表,标题|搜索/筛选|会话列表|未读与状态|更多操作,未读、最后消息、时间、拉黑/删除说明,CONNECTING;CONTENT;EMPTY;OFFLINE;SYNCING;ERROR,WebSocket与拉取去重；删除仅删除本端视图,未读状态和消息预览可读,列表项支持滑动但必须有等价菜单,重连、乱序、重复消息、删除视图测试,FROZEN_V1.2.2
MOB-CHAT-DETAIL,ANDROID,即时聊天详情,私聊、工单会话,会话头|消息流|状态提示|输入区|附件/联系卡片,发送状态、重试、已读、拉黑、举报、敏感提示,CONNECTING;CONTENT;SENDING;OFFLINE;BLOCKED;ERROR,clientMessageId去重；失败消息显式重试；拉黑后禁发,消息发送者和时间可读；输入附件按钮有标签,键盘/图片预览适配,ACK、重连、乱序、重复、拉黑测试,FROZEN_V1.2.2
MOB-WALLET,ANDROID,资产与流水,奖励账户、红包记录、佣金、积分、提现记录,余额/指标摘要|状态说明|筛选|流水列表|规则入口,金额单位、待结算/可用/冻结拆分、账期、风险提示,LOADING;CONTENT;EMPTY;REFRESHING;RISK_FROZEN;ERROR,金额全部以分传输并格式化；余额与流水口径一致,金额和正负方向完整播报,摘要卡片可换行,金额格式、账本一致、状态筛选测试,FROZEN_V1.2.2
