错误码,HTTP状态,含义,客户端处理,可重试,成熟度
COMMON-400-VALIDATION,400,请求字段校验失败,修正字段后重试,否,FROZEN
COMMON-401-UNAUTHENTICATED,401,未登录或Token无效,刷新Token或重新登录,否,FROZEN
COMMON-403-FORBIDDEN,403,缺少能力、权限或实名条件,引导补充能力或联系管理员,否,FROZEN
COMMON-404-NOT_FOUND,404,资源不存在或不可见,刷新列表,否,FROZEN
COMMON-409-VERSION_CONFLICT,409,资源版本冲突,重新获取资源后提交,是,FROZEN
COMMON-409-IDEMPOTENCY_CONFLICT,409,同一幂等键对应不同请求,使用新幂等键或复用首次请求,否,FROZEN
COMMON-422-BUSINESS_RULE,422,业务规则不满足,展示服务端业务原因,视原因,FROZEN
COMMON-429-RATE_LIMITED,429,触发频控,按Retry-After退避,是,FROZEN
COMMON-500-INTERNAL,500,内部错误,保留RequestId并重试/上报,是,FROZEN
AUTH-401-SESSION_REVOKED,401,会话已撤销,重新登录,否,FROZEN
AUTH-422-SECURITY_CHALLENGE_INVALID,422,安全验证码错误、过期或已使用,清空答案并获取新的安全验证码,是,FROZEN
AUTH-423-ACCOUNT_RESTRICTED,423,账号冻结或受限,展示原因和申诉入口,否,FROZEN
IDENTITY-422-NOT_VERIFIED,422,未完成实名认证,跳转实名认证,否,FROZEN
CONTENT-409-STATUS_TRANSITION,409,内容状态不允许当前操作,刷新状态,否,FROZEN
PAYMENT-409-AMOUNT_MISMATCH,409,支付金额或币种不一致,禁止入账并进入异常单,否,FROZEN
PAYMENT-422-GATEWAY_REJECTED,422,支付通道拒绝,允许更换渠道或重试,视通道,FROZEN
REDPACKET-409-STOCK_EXHAUSTED,409,红包名额已用完,结束任务,否,FROZEN
REDPACKET-409-ALREADY_CLAIMED,409,用户已领取该活动,展示历史记录,否,FROZEN
REDPACKET-422-VIEW_INVALID,422,有效浏览证据不足,重新开始任务,否,FROZEN
REWARD-423-RISK_FROZEN,423,奖励因风险冻结,展示申诉入口,否,FROZEN
WITHDRAWAL-422-BALANCE_INSUFFICIENT,422,可提现余额不足,调整金额,否,FROZEN
WITHDRAWAL-409-DUPLICATE,409,重复提现请求,返回首次提现单,是,FROZEN
CONFIG-409-ACTIVATION_FAILED,409,配置连接测试或组合校验失败,修正草稿后重新测试,否,FROZEN
