operationId,平台,方法,路径,用途,所有者类型,UI_ID,责任模块,计划版本,权限,说明,状态
authPostAuthSecurityChallenges,CLIENT,POST,/api/v1/auth/security-challenges,创建图形/行为安全挑战,PAGE_ACTION,H5-013;SCR-AUTH-001;SCR-AUTH-002;SCR-AUTH-003;SCR-AUTH-004,Auth,R02,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostAuthPasswordLogin,CLIENT,POST,/api/v1/auth/password/login,手机号+密码+安全验证登录,PAGE_ACTION,SCR-AUTH-001,Auth,R02,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostAuthSmsSend,CLIENT,POST,/api/v1/auth/sms/send,阿里云短信验证码：LOGIN/REGISTER/RESET_PASSWORD,PAGE_ACTION,H5-013;SCR-AUTH-002;SCR-AUTH-003;SCR-AUTH-004,Auth,R02,公开+安全挑战,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostAuthSmsLogin,CLIENT,POST,/api/v1/auth/sms/login,已注册手机号短信验证码登录,PAGE_ACTION,SCR-AUTH-002,Auth,R02,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostAuthInviteCodesValidate,CLIENT,POST,/api/v1/auth/invite-codes/validate,校验邀请码和注册必填规则,PAGE_ACTION,SCR-AUTH-003,Auth,R02,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authGetAuthRegistrationConfig,CLIENT,GET,/api/v1/auth/registration-config,读取当前注册协议版本配置,PAGE_ACTION,SCR-AUTH-003,Auth,R02,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostAuthRegister,CLIENT,POST,/api/v1/auth/register,密码注册、短信校验、邀请码绑定、随机用户名,PAGE_ACTION,H5-013;SCR-AUTH-003,Auth,R02,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostAuthPasswordReset,CLIENT,POST,/api/v1/auth/password/reset,短信校验后重置密码,PAGE_ACTION,SCR-AUTH-004,Auth,R02,公开,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostMeSecurityPasswordChange,CLIENT,POST,/api/v1/me/security/password/change,修改登录密码,PAGE_ACTION,SCR-AUTH-007,Auth,R02,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostAuthRefresh,CLIENT,POST,/api/v1/auth/refresh,刷新Token,PAGE_ACTION,SCR-APP-001,Auth,R02,RefreshToken,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authPostAuthLogout,CLIENT,POST,/api/v1/auth/logout,退出当前会话,PAGE_ACTION,SCR-SET-001,Auth,R02,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authGetAuthSessions,CLIENT,GET,/api/v1/auth/sessions,登录设备列表,PAGE_ACTION,SCR-AUTH-006,Auth,R02,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
authDeleteAuthSessionsById,CLIENT,DELETE,/api/v1/auth/sessions/{id},下线设备,PAGE_ACTION,SCR-AUTH-006,Auth,R02,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
userGetMe,CLIENT,GET,/api/v1/me,当前用户资料,PAGE_ACTION,SCR-AUTH-005;SCR-ID-001;SCR-ME-001;SCR-ME-002;SCR-PUB-001,User,R02/R07/R12,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
userPatchMeProfile,CLIENT,PATCH,/api/v1/me/profile,修改头像昵称简介,PAGE_ACTION,SCR-ME-002;SCR-SET-001,User,R02/R07/R12,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
userGetPublishersById,CLIENT,GET,/api/v1/publishers/{id},发布者公开主页,PAGE_ACTION,SCR-PUBLISHER-001,User,R02/R07/R12,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
userPostMeCancellation,CLIENT,POST,/api/v1/me/cancellation,申请注销,PAGE_ACTION,SCR-AUTH-008,User,R02/R07/R12,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
identityPostIdentitySessions,CLIENT,POST,/api/v1/identity/sessions,创建实名会话,PAGE_ACTION,SCR-ID-001;SCR-ID-002,Identity,R05,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
identityPostIdentitySessionsByIdLivenessToken,CLIENT,POST,/api/v1/identity/sessions/{id}/liveness-token,获取活体H5,PAGE_ACTION,SCR-ID-003,Identity,R05,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
identityGetIdentitySessionsById,CLIENT,GET,/api/v1/identity/sessions/{id},查询实名状态,PAGE_ACTION,H5-012;SCR-ID-003;SCR-ID-004,Identity,R05,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
identityPostIdentitySessionsByIdRetry,CLIENT,POST,/api/v1/identity/sessions/{id}/retry,重新认证,PAGE_ACTION,SCR-ID-004,Identity,R05,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
publicPostIdentityCallbackConsume,CLIENT,POST,/public-api/v1/identity/callback/consume,消费一次性活体回跳,PAGE_ACTION,H5-012,Public,R05,公开,仅消费一次性state并返回最小业务状态；不得展示state或技术字段,FROZEN
mediaPostMediaUploadSessions,CLIENT,POST,/api/v1/media/upload-sessions,创建上传会话,PAGE_ACTION,SHEET-MEDIA-001,Media,R04,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
mediaPostMediaUploadSessionsByIdComplete,CLIENT,POST,/api/v1/media/upload-sessions/{id}/complete,完成上传,PAGE_ACTION,SHEET-MEDIA-001,Media,R04,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
mediaDeleteMediaById,CLIENT,DELETE,/api/v1/media/{id},删除未绑定媒体,PAGE_ACTION,SHEET-MEDIA-001,Media,R04,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
homeGetHome,CLIENT,GET,/api/v1/home,首页聚合,PAGE_ACTION,SCR-HOME-001,Home,R06,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
searchGetSearch,CLIENT,GET,/api/v1/search,全局搜索,PAGE_ACTION,SCR-SEARCH-001;SCR-SEARCH-002,Search,R07,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
searchGetSearchHot,CLIENT,GET,/api/v1/search/hot,热搜,PAGE_ACTION,SCR-SEARCH-001,Search,R07,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
searchGetSearchHistory,CLIENT,GET,/api/v1/search/history,搜索历史,PAGE_ACTION,SCR-SEARCH-001,Search,R07,登录,由页面详细动作规格实现；共享组件允许多页面复用,FROZEN
