表名,领域,计划版本,迁移文件,字段数,主键,成熟度
users,账号,R02,database/migrations/V002__access_admin_and_platform.sql,7,id,FROZEN
user_credentials,账号,R02,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
auth_security_challenges,账号,R02,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
password_reset_sessions,账号,R02,database/migrations/V002__access_admin_and_platform.sql,8,id,FROZEN
registration_records,账号,R02,database/migrations/V002__access_admin_and_platform.sql,10,id,FROZEN
user_profiles,账号,R02,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
user_sessions,账号,R02,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
user_devices,账号,R02,database/migrations/V002__access_admin_and_platform.sql,7,id,FROZEN
sms_verification_codes,账号,R02,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
sms_send_logs,账号,R02,database/migrations/V002__access_admin_and_platform.sql,9,id,FROZEN
login_logs,账号,R02,database/migrations/V002__access_admin_and_platform.sql,7,id,FROZEN
user_settings,账号,R02,database/migrations/V002__access_admin_and_platform.sql,6,id,FROZEN
user_status_logs,账号,R02,database/migrations/V002__access_admin_and_platform.sql,7,id,FROZEN
identity_profiles,实名,R05,database/migrations/V003__content_identity_and_communication.sql,9,id,FROZEN
identity_verification_sessions,实名,R05,database/migrations/V003__content_identity_and_communication.sql,9,id,FROZEN
identity_provider_requests,实名,R05,database/migrations/V003__content_identity_and_communication.sql,8,id,FROZEN
identity_media,实名,R05,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
identity_review_records,实名,R05,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
sensitive_data_access_logs,实名,R05,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
media_objects,媒体,R04,database/migrations/V003__content_identity_and_communication.sql,10,id,FROZEN
upload_sessions,媒体,R04,database/migrations/V003__content_identity_and_communication.sql,8,id,FROZEN
media_access_tokens,媒体,R04,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
content_posts,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,11,id,FROZEN
project_details,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,8,id,FROZEN
app_details,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,9,id,FROZEN
group_details,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,10,id,FROZEN
team_leader_details,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,8,id,FROZEN
content_media,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
content_contacts,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,8,id,FROZEN
content_versions,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
content_status_logs,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
content_review_records,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
content_stats,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,10,id,FROZEN
content_daily_stats,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
content_favorites,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,5,id,FROZEN
content_view_logs,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
content_contact_access_logs,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
content_reports,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,8,id,FROZEN
content_appeals,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
publisher_follows,内容,R06-R13,database/migrations/V003__content_identity_and_communication.sql,5,id,FROZEN
search_histories,搜索,R07,database/migrations/V003__content_identity_and_communication.sql,5,id,FROZEN
hot_search_terms,搜索,R07,database/migrations/V003__content_identity_and_communication.sql,8,id,FROZEN
conversations,聊天,R14,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
conversation_members,聊天,R14,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
chat_messages,聊天,R14,database/migrations/V003__content_identity_and_communication.sql,9,id,FROZEN
chat_message_attachments,聊天,R14,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
chat_read_receipts,聊天,R14,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
user_blocks,聊天,R14,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
chat_reports,聊天,R14,database/migrations/V003__content_identity_and_communication.sql,8,id,FROZEN
notifications,通知,R15,database/migrations/V003__content_identity_and_communication.sql,10,id,FROZEN
notification_templates,通知,R15,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
notification_deliveries,通知,R15,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
push_tokens,通知,R15,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
announcements,通知,R15,database/migrations/V003__content_identity_and_communication.sql,7,id,FROZEN
announcement_reads,通知,R15,database/migrations/V003__content_identity_and_communication.sql,6,id,FROZEN
products,商品,R16,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
product_skus,商品,R16,database/migrations/V004__commerce_redpacket_and_finance.sql,9,id,FROZEN
sku_commission_policies,商品,R16,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
coupons,商品,R16,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
user_coupons,商品,R16,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
orders,订单,R16,database/migrations/V004__commerce_redpacket_and_finance.sql,10,id,FROZEN
order_items,订单,R16,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
order_price_snapshots,订单,R16,database/migrations/V004__commerce_redpacket_and_finance.sql,9,id,FROZEN
payment_transactions,支付,R17,database/migrations/V004__commerce_redpacket_and_finance.sql,9,id,FROZEN
payment_callbacks,支付,R17,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
payment_exception_orders,支付,R17,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
payment_reconciliation_records,支付,R17,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
membership_plans,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
membership_skus,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
membership_benefits,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
membership_sku_benefits,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
user_memberships,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,9,id,FROZEN
membership_entitlement_segments,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,10,id,FROZEN
membership_benefit_snapshots,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
membership_upgrade_quotes,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,8,id,FROZEN
membership_value_conversions,会员,R18,database/migrations/V004__commerce_redpacket_and_finance.sql,6,id,FROZEN
prop_products,道具,R19,database/migrations/V004__commerce_redpacket_and_finance.sql,7,id,FROZEN
