事件ID,事件名,领域,触发说明,关键属性
EVT-APP-OPEN,app_open,用户,App启动,"source,version,device"
EVT-AUTH-LOGIN,login_success,用户,登录成功,"invite_source,device"
EVT-HOME-VIEW,home_view,用户,首页展示,module_version
EVT-CARD-IMP,content_impression,内容,内容卡片有效曝光,"content_id,position,traffic_type,exposure_layer"
EVT-DETAIL-VIEW,content_detail_view,内容,进入详情,"content_id,source,traffic_type"
EVT-CONTACT,contact_access,内容,获取/复制联系方式,"content_id,channel,action"
EVT-OUTLINK,external_link_click,内容,外链/下载点击,"content_id,url_type"
EVT-FAVORITE,content_favorite,内容,收藏/取消,"content_id,action"
EVT-SHARE,content_share,内容,分享,"content_id,channel"
EVT-CHAT-START,chat_start,聊天,发起私聊,"publisher_id,content_id"
EVT-CHAT-MSG,chat_message_sent,聊天,发送消息,"conversation_id,message_type"
EVT-PUBLISH-DRAFT,content_draft_saved,发布,草稿保存,content_type
EVT-PUBLISH-SUBMIT,content_submitted,发布,提交审核,"content_id,content_type"
EVT-PUBLISH-APPROVE,content_approved,发布,审核通过,"content_id,content_type"
EVT-CONTENT-ONLINE,content_online,发布,内容上架,content_id
EVT-CONTENT-OFFLINE,content_offline,发布,内容下架,"content_id,reason"
EVT-RP-CREATE,red_packet_campaign_created,红包,创建活动,"campaign_id,content_id"
EVT-RP-PAY,red_packet_campaign_paid,红包,活动付款,"campaign_id,principal,service_fee"
EVT-RP-PAUSE,red_packet_campaign_paused,红包,活动暂停,"campaign_id,reason"
EVT-RP-INCREASE,red_packet_amount_increased,红包,剩余红包加价,"campaign_id,old_amount,new_amount"
EVT-RP-SESSION,red_packet_view_session_started,红包,开始浏览任务,"campaign_id,required_seconds"
EVT-RP-COMPLETE,red_packet_view_completed,红包,浏览达标,"campaign_id,valid_seconds"
EVT-RP-CLAIM,red_packet_claimed,红包,领取成功,"campaign_id,amount,amount_version"
EVT-MEMBER-BUY,membership_purchased,会员,购买会员,"sku_id,paid_amount"
EVT-MEMBER-UPGRADE,membership_upgraded,会员,补差升级,"from_term,to_term,paid_amount"
EVT-PROP-BUY,prop_purchased,道具,购买道具,"prop_type,quantity"
EVT-PROP-USE,prop_used,道具,使用道具,"prop_type,content_id,layers"
EVT-REF-SHARE,referral_shared,推广,分享邀请,"channel,invite_code"
EVT-REF-BIND,referral_bound,推广,邀请关系绑定,"inviter_id,invitee_id,source"
EVT-COMMISSION,commission_created,推广,消费佣金生成,"order_id,level,amount"
EVT-RACT-SCORE,referral_activity_score_added,推广活跃,直推用户进度增加,"relation_id,event_type,delta"
EVT-RACT-REWARD,referral_milestone_reward_created,推广活跃,跨档奖励,"relation_id,milestone,member_snapshot,amount"
EVT-TASK-COMPLETE,task_completed,任务,个人任务完成,"task_id,reward_type"
EVT-POINT-CHANGE,personal_points_changed,任务,个人积分变动,"delta,source,balance"
EVT-WD-SUBMIT,withdrawal_submitted,提现,提交提现,"amount,fee"
EVT-WD-SUCCESS,withdrawal_succeeded,提现,出款成功,"net_amount,gateway"
EVT-REPORT,report_submitted,治理,举报,"target_type,target_id,report_type"
EVT-TICKET,support_ticket_created,客服,创建工单,"ticket_type,biz_type"
