领域,表名,字段顺序,字段名,建议类型,可空,默认值,索引建议,约束来源,计划版本,成熟度
账号,users,1,id,bigint,否,generated,PRIMARY KEY,phone唯一；软删除,R02,FROZEN
账号,users,2,phone,varchar(32),否,,,phone唯一；软删除,R02,FROZEN
账号,users,3,status,varchar(64),否,,,phone唯一；软删除,R02,FROZEN
账号,users,4,invite_code,varchar(255),是,,,phone唯一；软删除,R02,FROZEN
账号,users,5,created_at,timestamptz,否,now(),INDEX,phone唯一；软删除,R02,FROZEN
账号,users,6,version,bigint,否,0,,乐观锁,R02,FROZEN
账号,users,7,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,user_credentials,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R02,FROZEN
账号,user_credentials,2,user_id,bigint,否,,INDEX,user_id唯一；Argon2id/BCrypt,R02,FROZEN
账号,user_credentials,3,password_hash,varchar(128),否,,,user_id唯一；Argon2id/BCrypt,R02,FROZEN
账号,user_credentials,4,algorithm,varchar(64),是,,,user_id唯一；Argon2id/BCrypt,R02,FROZEN
账号,user_credentials,5,password_changed_at,timestamptz,是,,INDEX,user_id唯一；Argon2id/BCrypt,R02,FROZEN
账号,user_credentials,6,failed_count,integer,是,,,user_id唯一；Argon2id/BCrypt,R02,FROZEN
账号,user_credentials,7,locked_until,timestamptz,是,,,user_id唯一；Argon2id/BCrypt,R02,FROZEN
账号,user_credentials,8,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,user_credentials,9,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,auth_security_challenges,1,id,bigint,否,generated,PRIMARY KEY,一次性、短期保留,R02,FROZEN
账号,auth_security_challenges,2,type,varchar(64),否,,,一次性、短期保留,R02,FROZEN
账号,auth_security_challenges,3,answer_hash,varchar(128),是,,,一次性、短期保留,R02,FROZEN
账号,auth_security_challenges,4,expires_at,timestamptz,是,,INDEX,一次性、短期保留,R02,FROZEN
账号,auth_security_challenges,5,used_at,timestamptz,是,,INDEX,一次性、短期保留,R02,FROZEN
账号,auth_security_challenges,6,ip,varchar(64),是,,,一次性、短期保留,R02,FROZEN
账号,auth_security_challenges,7,device_id,bigint,是,,INDEX,一次性、短期保留,R02,FROZEN
账号,auth_security_challenges,8,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,auth_security_challenges,9,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,password_reset_sessions,1,id,bigint,否,generated,PRIMARY KEY,一次性,R02,FROZEN
账号,password_reset_sessions,2,phone,varchar(32),否,,,一次性,R02,FROZEN
账号,password_reset_sessions,3,sms_verification_id,bigint,是,,INDEX,一次性,R02,FROZEN
账号,password_reset_sessions,4,expires_at,timestamptz,是,,INDEX,一次性,R02,FROZEN
账号,password_reset_sessions,5,used_at,timestamptz,是,,INDEX,一次性,R02,FROZEN
账号,password_reset_sessions,6,version,bigint,否,0,,乐观锁,R02,FROZEN
账号,password_reset_sessions,7,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,password_reset_sessions,8,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,registration_records,1,id,bigint,否,generated,PRIMARY KEY,审计保留,R02,FROZEN
账号,registration_records,2,user_id,bigint,否,,INDEX,审计保留,R02,FROZEN
账号,registration_records,3,channel,varchar(64),是,,,审计保留,R02,FROZEN
账号,registration_records,4,phone,varchar(32),是,,,审计保留,R02,FROZEN
账号,registration_records,5,invite_code,varchar(255),是,,,审计保留,R02,FROZEN
账号,registration_records,6,inviter_id,bigint,是,,INDEX,审计保留,R02,FROZEN
账号,registration_records,7,rule_version,varchar(255),是,,,审计保留,R02,FROZEN
账号,registration_records,8,ip,varchar(64),是,,,审计保留,R02,FROZEN
账号,registration_records,9,device_id,bigint,是,,INDEX,审计保留,R02,FROZEN
账号,registration_records,10,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,user_profiles,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R02,FROZEN
账号,user_profiles,2,user_id,bigint,否,,INDEX,user_id唯一；注册时生成“合伙人+数字”昵称,R02,FROZEN
账号,user_profiles,3,nickname,varchar(255),否,,,user_id唯一；注册时生成“合伙人+数字”昵称,R02,FROZEN
账号,user_profiles,4,avatar,varchar(255),是,,,user_id唯一；注册时生成“合伙人+数字”昵称,R02,FROZEN
账号,user_profiles,5,bio,varchar(255),是,,,user_id唯一；注册时生成“合伙人+数字”昵称,R02,FROZEN
账号,user_profiles,6,region,varchar(255),是,,,user_id唯一；注册时生成“合伙人+数字”昵称,R02,FROZEN
账号,user_profiles,7,version,bigint,否,0,,乐观锁,R02,FROZEN
账号,user_profiles,8,created_at,timestamptz,否,now(),INDEX,统一审计字段,R02,FROZEN
账号,user_profiles,9,updated_at,timestamptz,否,now(),,统一审计字段,R02,FROZEN
账号,user_sessions,1,id,bigint,否,generated,PRIMARY KEY,技术主键,R02,FROZEN
账号,user_sessions,2,user_id,bigint,否,,INDEX,refresh_hash唯一,R02,FROZEN
账号,user_sessions,3,access_jti,varchar(128),否,,,refresh_hash唯一,R02,FROZEN
