版本,主题,范围,Android测试APK,状态,完成定义,依赖版本,商业里程碑,契约状态,文档版本,DoR状态,需求数,页面/交互面数,故事数,DoR项数,故事入口,DoR入口
P00,仓库、环境、契约与无状态接续,私有仓库、工程骨架、配置注册表、契约骨架、CI、开发/测试/预发布环境、冷启动接手,YES,READY,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,,M0_ENGINEERING_FOUNDATION,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,14,0,1,12,releases/P00/STORIES.yaml,releases/P00/DEFINITION_OF_READY.yaml
R01,Design System与契约工程化,完整Token、组件库、OpenAPI/DB/WebSocket契约生成与校验、基础主题Demo,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,P00,M0_ENGINEERING_FOUNDATION,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,13,3,3,12,releases/R01/STORIES.yaml,releases/R01/DEFINITION_OF_READY.yaml
R02,账号、登录、注册与安全会话,密码默认登录、图形安全验证、阿里云短信登录/注册、邀请注册、Token、设备和后台用户管理,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R01,M0_ENGINEERING_FOUNDATION,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,6,14,9,12,releases/R02/STORIES.yaml,releases/R02/DEFINITION_OF_READY.yaml
R03,供应商配置、密钥、证书与域名中心,后台配置短信、R2/OSS、实名、支付、支付宝出款；orbexa.cc二级域名和DNS待办,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R01,M0_ENGINEERING_FOUNDATION,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,5,7,4,12,releases/R03/STORIES.yaml,releases/R03/DEFINITION_OF_READY.yaml
R04,媒体与多对象存储,Cloudflare R2和阿里云OSS适配、Scope隔离、上传、私有预览、迁移和审计,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R03,M0_ENGINEERING_FOUNDATION,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,1,2,12,releases/R04/STORIES.yaml,releases/R04/DEFINITION_OF_READY.yaml
R05,单一实名认证,姓名身份证、H5活体、人脸比对、私有照片、人工复核和敏感访问审计,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R02;R04,M0_ENGINEERING_FOUNDATION,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,7,8,12,releases/R05/STORIES.yaml,releases/R05/DEFINITION_OF_READY.yaml
R06,统一内容基础、首页与CMS,四类内容主模型、统一卡片、首页运营模块、基础后台和审核骨架,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R02;R04,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,5,5,12,releases/R06/STORIES.yaml,releases/R06/DEFINITION_OF_READY.yaml
R07,搜索、发布者主页与联系方式保护,统一搜索、必要筛选、发布者主页、联系方式从详情获取和访问审计,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R06,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,5,5,12,releases/R07/STORIES.yaml,releases/R07/DEFINITION_OF_READY.yaml
R08,项目推广完整闭环,项目发布、审核、列表、详情、编辑、上下架、版本和统计,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R05;R06;R07,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,3,4,12,releases/R08/STORIES.yaml,releases/R08/DEFINITION_OF_READY.yaml
R09,App推广完整闭环,App推广字段、Logo/截图、外部下载链接、审核、详情和统计，禁止第三方APK上传,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R05;R06;R07,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,3,4,12,releases/R09/STORIES.yaml,releases/R09/DEFINITION_OF_READY.yaml
R10,群聊推广完整闭环,群平台、二维码、链接、群号、口令、失效反馈和群主联系,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R05;R06;R07,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,3,4,12,releases/R10/STORIES.yaml,releases/R10/DEFINITION_OF_READY.yaml
R11,团队长入驻完整闭环,一账号一份、修改、审核、上下架、详情和合作信息,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R05;R06;R07,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,3,4,12,releases/R11/STORIES.yaml,releases/R11/DEFINITION_OF_READY.yaml
R12,统一发布与发布管理,发布入口、草稿自动保存、预览、额度、我的发布、复制、审核和上下架,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R08;R09;R10;R11,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,11,8,12,releases/R12/STORIES.yaml,releases/R12/DEFINITION_OF_READY.yaml
R13,收藏、历史、分享与行为审计,收藏、浏览记录、H5分享、联系方式/外链/二维码行为统计,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R07;R12,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,4,3,12,releases/R13/STORIES.yaml,releases/R13/DEFINITION_OF_READY.yaml
R14,一对一聊天核心,会话、文本、图片、内容/联系方式卡片、WebSocket可靠性和未读,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R02;R04;R06,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,2,6,4,12,releases/R14/STORIES.yaml,releases/R14/DEFINITION_OF_READY.yaml
R15,通知、公告、举报与客服,业务通知、公告、拉黑举报、防骚扰、客服工单、申诉和纠纷,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R14,M1_CONTENT_MARKETPLACE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,4,19,14,12,releases/R15/STORIES.yaml,releases/R15/DEFINITION_OF_READY.yaml
R16,商品、SKU、报价与统一订单,会员、道具、红包服务商品、服务端报价、订单快照和不退款证据,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R02;R06,M2_COMMERCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,3,4,12,releases/R16/STORIES.yaml,releases/R16/DEFINITION_OF_READY.yaml
R17,支付抽象与H5统一收银台,彩虹易支付预留、支付WebView、回调验签、查单、对账和异常账务,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R03;R16,M2_COMMERCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,4,4,12,releases/R17/STORIES.yaml,releases/R17/DEFINITION_OF_READY.yaml
R18,Pro会员与补差升级,月季年SKU、权益引擎、公开Pro标识、剩余价值升级和快照,YES,READY_WHEN_DEPENDENCIES_GREEN,代码、迁移、精确契约、自动化测试、可观测性、部署、APK（如要求）、追踪证据全部通过；不得以Mock或目录登记宣称完成,R17,M2_COMMERCE,FROZEN,1.2.2,PASS_DOCUMENTATION_READY,3,6,4,12,releases/R18/STORIES.yaml,releases/R18/DEFINITION_OF_READY.yaml
